location,pm25,pm10,co2,timestamp
Borivali,262.67,166.28,2255.37,2024-11-24 17:21:48
Matunga,464.65,220.23,1946.37,2024-11-24 17:21:53
Ghatkopar,22.36,296.95,4557.42,2024-11-24 17:21:58
Versova,439.21,201.79,2178.54,2024-11-24 17:22:03
Marine Drive,47.84,75.65,4928.41,2024-11-24 17:22:08
Dahisar,345.26,262.88,3321.34,2024-11-24 17:22:13
Kandivali West,333.0,11.71,2474.22,2024-11-24 17:22:18
Marine Drive,217.61,264.54,4501.01,2024-11-24 17:22:23
Vile Parle,150.12,7.87,2010.81,2024-11-24 17:22:28
Chembur,29.61,145.71,3980.93,2024-11-24 17:22:33
Worli,114.96,160.56,1219.02,2024-11-24 17:22:38
Malad,284.46,457.55,3920.3,2024-11-24 17:22:43
Kandivali West,443.23,159.95,3023.57,2024-11-24 17:22:48
Saki Naka,269.11,200.25,4937.85,2024-11-24 17:22:53
Bhayandar,406.9,187.72,3430.53,2024-11-24 17:22:58
Lower Parel,91.73,3.39,842.09,2024-11-24 17:23:03
Andheri,489.44,329.61,1349.53,2024-11-24 17:23:08
Kurla,481.58,383.93,3702.66,2024-11-24 17:23:13
Matunga,433.47,4.18,2951.53,2024-11-24 17:23:18
Khar,317.15,21.46,4668.92,2024-11-24 17:23:23
Colaba,371.21,318.13,1061.46,2024-11-24 17:23:28
Prabhadevi,315.62,116.4,2949.29,2024-11-24 17:23:33
Thane,194.63,165.38,2413.27,2024-11-24 17:23:38
Khar,221.91,209.66,2628.19,2024-11-24 17:23:43
Colaba,275.63,441.16,2646.46,2024-11-24 17:23:48
Santacruz,402.29,9.12,1289.82,2024-11-24 17:23:53
Chembur,365.69,489.79,4075.62,2024-11-24 17:23:58
Thane,329.32,349.51,2609.42,2024-11-24 17:24:03
Kandivali,314.07,473.65,3083.72,2024-11-24 17:24:08
Andheri,412.02,5.32,587.03,2024-11-24 17:24:13
Vashi,421.17,321.16,3231.79,2024-11-24 17:24:18
Marine Drive,170.26,125.21,794.42,2024-11-24 17:24:23
Andheri,132.41,255.28,2832.97,2024-11-24 17:24:28
Vashi,125.05,244.47,2946.35,2024-11-24 17:24:33
Matunga,492.95,344.88,2757.54,2024-11-24 17:24:38
Nariman Point,379.67,318.55,2625.93,2024-11-24 17:24:43
Marine Drive,117.92,98.13,1518.67,2024-11-24 17:24:48
Prabhadevi,141.14,271.96,2379.33,2024-11-24 17:24:53
Parel,19.51,489.29,3674.2,2024-11-24 17:24:58
Chembur,151.66,128.35,3336.38,2024-11-24 17:25:03
Sion,270.69,429.18,1246.4,2024-11-24 17:25:08
Parel,369.26,302.12,4281.99,2024-11-24 17:25:13
Santacruz,402.27,10.39,2248.84,2024-11-24 17:25:18
Worli,48.67,248.14,4663.46,2024-11-24 17:25:23
Bandra,259.71,220.64,1874.06,2024-11-24 17:25:28
Marine Drive,419.04,342.58,2606.67,2024-11-24 17:25:33
Khar,366.68,481.82,1401.14,2024-11-24 17:25:38
Colaba,81.0,328.93,4505.36,2024-11-24 17:25:43
Mahalaxmi,200.23,266.85,2640.71,2024-11-24 17:25:48
Colaba,291.36,18.33,1392.07,2024-11-24 17:25:53
Saki Naka,70.72,45.16,886.07,2024-11-24 17:25:58
Worli,357.87,349.52,2586.82,2024-11-24 17:26:03
Sion,475.58,114.59,662.19,2024-11-24 17:26:09
Ghatkopar,442.34,64.0,697.05,2024-11-24 17:26:14
Marine Drive,420.31,354.91,1710.18,2024-11-24 17:26:19
Nariman Point,110.81,270.04,4182.53,2024-11-24 17:26:24
Parel,333.55,338.76,3145.03,2024-11-24 17:26:29
Borivali,101.99,75.07,426.0,2024-11-24 17:26:34
Colaba,461.38,424.38,424.19,2024-11-24 17:26:39
Prabhadevi,164.26,45.96,954.24,2024-11-24 17:26:44
Worli,341.97,486.61,1555.48,2024-11-24 17:26:49
Versova,213.43,235.27,4433.6,2024-11-24 17:26:54
Borivali,496.04,85.98,996.01,2024-11-24 17:26:59
Bandra,18.65,334.53,3636.81,2024-11-24 17:27:04
Dadar,89.12,205.86,3971.77,2024-11-24 17:27:09
Chembur,349.23,349.61,1415.11,2024-11-24 17:27:14
Vashi,289.03,480.36,4681.55,2024-11-24 17:27:19
Saki Naka,283.98,443.98,2108.39,2024-11-24 17:27:24
Ghatkopar,92.12,63.2,2997.66,2024-11-24 17:27:29
Vile Parle,302.64,289.62,3230.48,2024-11-24 17:27:34
Borivali,13.34,304.08,650.9,2024-11-24 17:27:39
Marine Drive,18.16,106.18,2577.57,2024-11-24 17:27:44
Matunga,337.73,74.17,3191.04,2024-11-24 17:27:49
Vile Parle,65.21,432.08,4316.67,2024-11-24 17:27:54
Chembur,390.48,260.73,2000.29,2024-11-24 17:27:59
Matunga,334.77,251.86,4249.72,2024-11-24 17:28:04
Malad,276.76,11.05,2377.3,2024-11-24 17:28:09
Dadar,185.94,289.75,1278.23,2024-11-24 17:28:14
Kandivali West,57.49,279.02,3054.76,2024-11-24 17:28:19
Saki Naka,393.93,414.8,3243.05,2024-11-24 17:28:24
Bandra,330.86,361.34,499.52,2024-11-24 17:28:29
Dadar,196.59,170.89,2418.75,2024-11-24 17:28:34
Marine Drive,462.16,385.65,3639.92,2024-11-24 17:28:39
Prabhadevi,129.19,255.72,2138.11,2024-11-24 17:28:44
Kandivali,382.58,343.48,2333.64,2024-11-24 17:28:49
Dadar,284.29,244.47,741.91,2024-11-24 17:28:54
Kandivali,271.36,35.43,3100.63,2024-11-24 17:28:59
Kandivali East,489.39,275.37,4735.28,2024-11-24 17:29:04
Kandivali,160.13,6.14,2781.72,2024-11-24 17:29:09
Bhayandar,74.9,31.98,1268.95,2024-11-24 17:29:14
Dadar,289.54,3.36,2529.48,2024-11-24 17:29:19
Andheri,246.95,261.2,3694.47,2024-11-24 17:29:24
Worli,48.22,135.49,740.02,2024-11-24 17:29:29
Kandivali,90.37,118.2,932.47,2024-11-24 17:29:34
Dadar,272.71,356.56,4804.28,2024-11-24 17:29:39
Lower Parel,361.1,386.01,1823.18,2024-11-24 17:29:44
Andheri,19.46,74.61,1033.78,2024-11-24 17:29:49
Kandivali East,378.98,22.15,4540.24,2024-11-24 17:29:54
Chembur,353.49,397.47,1084.01,2024-11-24 17:29:59
Kandivali West,238.06,52.39,4399.4,2024-11-24 17:30:04
Mulund,463.13,450.29,3365.46,2024-11-24 17:30:09
Khar,481.97,81.39,3086.82,2024-11-24 17:30:14
Kandivali West,37.42,115.29,4043.69,2024-11-24 17:30:19
Kandivali,214.83,407.02,2795.01,2024-11-24 17:30:24
Kandivali East,116.91,108.33,3172.96,2024-11-24 17:30:29
Parel,482.46,4.29,1357.78,2024-11-24 17:30:34
Kandivali West,100.75,145.16,4149.03,2024-11-24 17:30:39
Colaba,144.21,349.27,4771.91,2024-11-24 17:30:44
Jogeshwari,11.16,57.61,1338.46,2024-11-24 17:30:49
Prabhadevi,198.26,205.38,4451.47,2024-11-24 17:30:54
Nariman Point,164.49,82.67,1686.29,2024-11-24 17:30:59
Marine Drive,448.82,108.62,4368.27,2024-11-24 17:31:04
Prabhadevi,372.09,391.91,1588.21,2024-11-24 17:31:09
Worli,280.82,71.52,4655.88,2024-11-24 17:31:14
Worli,205.32,352.13,2280.76,2024-11-24 17:31:19
Santacruz,38.75,117.06,4924.94,2024-11-24 17:31:24
Bhayandar,45.1,127.02,2188.79,2024-11-24 17:31:29
Kandivali West,411.62,176.88,4635.3,2024-11-24 17:31:34
Kandivali,65.16,393.14,2641.59,2024-11-24 17:31:39
Kandivali,126.79,159.34,841.97,2024-11-24 17:31:44
Marine Drive,402.08,350.16,2784.79,2024-11-24 17:31:49
Matunga,393.33,367.66,3763.7,2024-11-24 17:31:54
Borivali,319.11,51.52,2712.59,2024-11-24 17:32:00
Andheri,428.52,29.05,3829.26,2024-11-24 17:32:05
Ghatkopar,482.03,167.03,3226.88,2024-11-24 17:32:10
Nariman Point,484.51,340.28,2356.05,2024-11-24 17:32:15
Santacruz,137.92,234.59,2106.21,2024-11-24 17:32:20
Thane,322.01,37.94,4967.91,2024-11-24 17:32:25
Marine Drive,52.24,297.91,3057.09,2024-11-24 17:32:30
Kurla,467.39,463.81,4139.51,2024-11-24 17:32:35
Kandivali West,274.03,126.73,3592.09,2024-11-24 17:32:40
Chembur,96.75,46.84,3296.11,2024-11-24 17:32:45
Santacruz,326.39,418.73,3018.35,2024-11-24 17:32:50
Borivali,190.19,488.95,4596.75,2024-11-24 17:32:55
Bhayandar,280.7,454.75,4518.02,2024-11-24 17:33:00
Worli,33.97,278.0,4174.98,2024-11-24 17:33:05
Dahisar,395.66,95.56,951.89,2024-11-24 17:33:10
Malad,34.85,102.67,2435.74,2024-11-24 17:33:15
Saki Naka,400.06,493.16,710.25,2024-11-24 17:33:20
Worli,469.08,429.31,4239.49,2024-11-24 17:33:25
Ghatkopar,345.61,241.5,4171.86,2024-11-24 17:33:30
Versova,130.43,102.47,579.9,2024-11-24 17:33:35
Lower Parel,223.72,352.96,1177.95,2024-11-24 17:33:40
Matunga,386.85,43.39,3558.59,2024-11-24 17:33:45
Sion,182.5,129.9,1675.87,2024-11-24 17:33:50
Marine Drive,178.14,137.24,4896.57,2024-11-24 17:33:55
Dahisar,57.49,267.66,1944.4,2024-11-24 17:34:00
Sion,89.6,281.28,1078.81,2024-11-24 17:34:05
Matunga,146.91,236.77,3098.73,2024-11-24 17:34:10
Kandivali East,437.7,268.76,3404.04,2024-11-24 17:34:15
Dahisar,18.74,128.02,1654.66,2024-11-24 17:34:20
Bandra,494.62,78.52,4455.16,2024-11-24 17:34:25
Kandivali East,476.74,181.24,957.53,2024-11-24 17:34:30
Borivali,423.39,428.37,4325.18,2024-11-24 17:34:35
Colaba,105.84,235.99,3161.62,2024-11-24 17:34:40
Kurla,490.76,393.89,459.82,2024-11-24 17:34:45
Borivali,355.67,240.24,1612.23,2024-11-24 17:34:50
Dadar,146.48,124.55,588.66,2024-11-24 17:34:55
Prabhadevi,415.38,444.44,2669.77,2024-11-24 17:35:00
Worli,346.74,338.22,4317.88,2024-11-24 17:35:05
Andheri,3.17,71.44,1651.44,2024-11-24 17:35:10
Nariman Point,320.1,199.86,1856.2,2024-11-24 17:35:15
Khar,323.38,456.33,1893.05,2024-11-24 17:35:20
Borivali,416.52,359.96,3922.69,2024-11-24 17:35:25
Borivali,276.18,7.82,2203.79,2024-11-24 17:35:30
Parel,299.0,135.95,4587.01,2024-11-24 17:35:35
Dahisar,499.27,212.11,1560.05,2024-11-24 17:35:40
Lower Parel,392.36,431.95,1605.93,2024-11-24 17:35:45
Chembur,148.91,21.25,3905.08,2024-11-24 17:35:50
Ghatkopar,415.44,273.17,4001.92,2024-11-24 17:35:55
Mulund,231.62,37.33,1349.11,2024-11-24 17:36:00
Ghatkopar,28.93,23.62,3835.74,2024-11-24 17:36:05
Saki Naka,408.22,248.36,2384.47,2024-11-24 17:36:10
Mulund,0.39,184.76,2582.69,2024-11-24 17:36:15
Marine Drive,152.58,368.98,3977.08,2024-11-24 17:36:20
Mulund,159.37,154.22,4101.48,2024-11-24 17:36:25
Santacruz,61.69,60.08,3349.57,2024-11-24 17:36:30
Bhayandar,432.65,200.6,792.06,2024-11-24 17:36:35
Ghatkopar,182.29,456.32,3402.66,2024-11-24 17:36:40
Bandra,326.82,149.74,2850.31,2024-11-24 17:36:45
Kurla,75.61,165.55,663.87,2024-11-24 17:36:50
Marine Drive,452.98,497.68,2433.52,2024-11-24 17:36:55
Borivali,360.69,178.39,1915.34,2024-11-24 17:37:00
Chembur,98.56,141.43,3843.49,2024-11-24 17:37:05
Thane,117.92,350.23,2712.21,2024-11-24 17:37:10
Dahisar,239.67,58.05,2495.18,2024-11-24 17:37:15
Parel,299.08,348.41,1309.39,2024-11-24 17:37:20
Kurla,340.57,55.4,2824.86,2024-11-24 17:37:25
Kandivali,11.35,61.46,4491.12,2024-11-24 17:37:30
Jogeshwari,31.74,33.53,4788.51,2024-11-24 17:37:35
Mahalaxmi,493.57,482.84,4908.05,2024-11-24 17:37:40
Santacruz,250.66,266.41,1420.58,2024-11-24 17:37:45
Versova,443.65,319.05,2299.68,2024-11-24 17:37:50
Jogeshwari,49.83,46.92,1199.15,2024-11-24 17:37:55
Khar,212.23,434.0,622.05,2024-11-24 17:38:00
Jogeshwari,15.35,218.47,3735.26,2024-11-24 17:38:05
Santacruz,313.98,240.16,389.74,2024-11-24 17:38:10
Kandivali West,71.79,346.0,465.51,2024-11-24 17:38:15
Bhayandar,55.46,269.36,1314.87,2024-11-24 17:38:20
Prabhadevi,414.1,286.03,3712.72,2024-11-24 17:38:25
Kandivali West,136.89,420.5,2196.48,2024-11-24 17:38:30
Kandivali West,402.73,363.9,4558.5,2024-11-24 17:38:35
Kandivali West,453.12,25.72,1361.87,2024-11-24 17:38:40
Bhayandar,340.35,495.27,847.63,2024-11-24 17:38:45
Colaba,84.51,241.52,3155.45,2024-11-24 17:38:50
Worli,171.01,17.25,2368.3,2024-11-24 17:38:55
Nariman Point,206.22,212.41,2916.22,2024-11-24 17:39:00
Borivali,291.38,487.24,3455.86,2024-11-24 17:39:05
Andheri,289.82,166.52,1293.63,2024-11-24 17:39:10
Chembur,417.31,146.28,1985.49,2024-11-24 17:39:15
Vashi,209.64,463.35,909.62,2024-11-24 17:39:20
Mahalaxmi,405.27,344.53,3652.11,2024-11-24 17:39:25
Worli,366.46,29.25,1690.31,2024-11-24 17:39:30
Jogeshwari,274.25,115.07,2191.74,2024-11-24 17:39:35
Kandivali East,190.02,13.58,3773.51,2024-11-24 17:39:40
Saki Naka,416.82,218.49,2594.33,2024-11-24 17:39:45
Marine Drive,99.19,445.46,3260.72,2024-11-24 17:39:50
Kurla,386.01,121.1,4358.41,2024-11-24 17:39:55
Nariman Point,417.77,116.86,1268.05,2024-11-24 17:40:00
Sion,43.27,396.02,1577.04,2024-11-24 17:40:05
Marine Drive,455.69,359.7,1027.36,2024-11-24 17:40:10
Santacruz,88.0,277.89,3496.2,2024-11-24 17:40:15
Dadar,276.79,303.18,4948.02,2024-11-24 17:40:20
Sion,175.97,163.08,1503.1,2024-11-24 17:40:25
Lower Parel,325.69,220.66,2341.32,2024-11-24 17:40:30
Lower Parel,392.01,343.11,4387.08,2024-11-24 17:40:35
Dadar,26.87,412.96,304.41,2024-11-24 17:40:40
Versova,214.46,205.23,440.21,2024-11-24 17:40:45
Sion,304.06,399.56,1295.53,2024-11-24 17:40:50
Mulund,347.83,224.82,855.06,2024-11-24 17:40:55
Andheri,180.87,147.31,1101.19,2024-11-24 17:41:00
Vashi,246.2,377.94,2517.07,2024-11-24 17:41:05
Chembur,396.74,375.16,1124.68,2024-11-24 17:41:10
Ghatkopar,96.29,162.85,2366.44,2024-11-24 17:41:15
Mahalaxmi,200.14,183.1,4082.01,2024-11-24 17:41:20
Andheri,102.0,414.8,903.5,2024-11-24 17:41:25
Andheri,191.74,360.45,4589.97,2024-11-24 17:41:30
Dahisar,416.13,94.73,4838.53,2024-11-24 17:41:35
Versova,93.06,375.9,338.02,2024-11-24 17:41:40
Nariman Point,301.59,370.82,1710.47,2024-11-24 17:41:45
Vashi,51.36,464.65,2557.75,2024-11-24 17:41:50
Lower Parel,134.24,237.97,1323.73,2024-11-24 17:41:55
Bhayandar,479.85,231.01,3165.4,2024-11-24 17:42:00
Worli,176.72,202.09,1355.88,2024-11-24 17:42:05
Kandivali East,362.77,120.69,4328.53,2024-11-24 17:42:10
Kandivali,123.52,57.35,4082.88,2024-11-24 17:42:15
Bandra,462.53,146.17,4886.25,2024-11-24 17:42:20
Borivali,398.12,327.76,3905.36,2024-11-24 17:42:25
Kandivali East,483.6,237.66,2317.55,2024-11-24 17:42:30
Andheri,212.26,437.99,305.3,2024-11-24 17:42:35
Mahalaxmi,243.14,33.9,2856.25,2024-11-24 17:42:40
Kandivali West,400.15,446.19,514.34,2024-11-24 17:42:45
Matunga,25.45,257.87,4261.74,2024-11-24 17:42:50
Malad,374.59,140.97,3314.31,2024-11-24 17:42:55
Chembur,60.45,258.21,4369.06,2024-11-24 17:43:00
Khar,84.89,295.56,1783.46,2024-11-24 17:43:05
Mulund,134.96,44.72,1461.42,2024-11-24 17:43:10
Chembur,357.51,143.92,1918.62,2024-11-24 17:43:15
Kandivali East,0.1,433.98,380.18,2024-11-24 17:43:21
Saki Naka,391.61,454.06,1226.98,2024-11-24 17:43:26
Khar,441.45,242.38,4869.71,2024-11-24 17:43:31
Mulund,344.8,180.01,3030.34,2024-11-24 17:43:36
Borivali,162.77,286.42,3241.97,2024-11-24 17:43:41
Vile Parle,318.43,136.6,2353.52,2024-11-24 17:43:46
Sion,278.83,387.43,3780.5,2024-11-24 17:43:51
Worli,256.35,329.7,3858.75,2024-11-24 17:43:56
Matunga,371.39,299.84,3915.34,2024-11-24 17:44:01
Bandra,183.93,238.82,1302.77,2024-11-24 17:44:06
Dahisar,440.89,318.89,4386.52,2024-11-24 17:44:11
Matunga,69.23,319.23,3813.58,2024-11-24 17:44:16
Saki Naka,420.82,147.4,3989.19,2024-11-24 17:44:21
Kandivali West,432.0,475.58,4143.01,2024-11-24 17:44:26
Kandivali East,443.57,149.0,1711.44,2024-11-24 17:44:31
Marine Drive,299.17,126.94,2318.61,2024-11-24 17:44:36
Dadar,22.99,362.8,4682.87,2024-11-24 17:44:41
Vile Parle,377.87,83.57,4214.69,2024-11-24 17:44:46
Bhayandar,155.72,404.46,808.62,2024-11-24 17:44:51
Ghatkopar,123.55,134.14,1441.81,2024-11-24 17:44:56
Dadar,28.85,213.82,4072.64,2024-11-24 17:45:01
Parel,168.5,297.3,3620.27,2024-11-24 17:45:06
Worli,431.6,214.86,965.86,2024-11-24 17:45:11
Borivali,443.21,247.47,1474.85,2024-11-24 17:45:16
Khar,95.8,224.57,4783.49,2024-11-24 17:45:21
Thane,8.08,372.31,2931.19,2024-11-24 17:45:26
Vile Parle,16.25,287.0,1198.47,2024-11-24 17:45:31
Lower Parel,121.05,101.41,4108.37,2024-11-24 17:45:36
Thane,80.45,256.07,910.9,2024-11-24 17:45:41
Dadar,19.74,118.52,4092.6,2024-11-24 17:45:46
Santacruz,170.49,399.3,1262.17,2024-11-24 17:45:51
Sion,341.9,126.23,1741.34,2024-11-24 17:45:56
Colaba,65.55,136.23,4150.32,2024-11-24 17:46:01
Worli,143.76,297.82,2079.83,2024-11-24 17:46:06
Versova,345.67,181.08,4715.92,2024-11-24 17:46:11
Vashi,445.08,40.45,3273.67,2024-11-24 17:46:16
Santacruz,118.62,438.05,1728.98,2024-11-24 17:46:21
Bandra,21.28,150.09,1072.11,2024-11-24 17:46:26
Jogeshwari,473.29,330.73,1702.17,2024-11-24 17:46:31
Mulund,494.2,223.62,1311.23,2024-11-24 17:46:36
Sion,50.28,88.41,1878.01,2024-11-24 17:46:41
Borivali,196.08,470.67,2019.44,2024-11-24 17:46:46
Chembur,100.09,291.43,2788.09,2024-11-24 17:46:51
Kurla,420.46,124.34,2840.5,2024-11-24 17:46:56
Santacruz,447.08,159.31,2239.03,2024-11-24 17:47:01
Thane,325.02,171.42,2287.78,2024-11-24 17:47:06
Parel,55.42,461.95,1653.5,2024-11-24 17:47:11
Parel,68.22,282.04,2849.48,2024-11-24 17:47:16
Prabhadevi,291.67,289.72,2298.38,2024-11-24 17:47:21
Nariman Point,81.12,123.31,1692.89,2024-11-24 17:47:26
Bandra,45.88,13.13,4152.73,2024-11-24 17:47:31
Colaba,127.61,455.33,3338.73,2024-11-24 17:47:36
Kurla,162.37,359.09,4528.9,2024-11-24 17:47:41
Lower Parel,399.79,200.64,2342.81,2024-11-24 17:47:46
Matunga,494.23,130.81,1771.72,2024-11-24 17:47:51
Chembur,335.02,377.98,2861.41,2024-11-24 17:47:56
Prabhadevi,127.17,363.69,3270.3,2024-11-24 17:48:01
Vile Parle,186.04,337.16,4893.38,2024-11-24 17:48:06
Colaba,494.55,128.14,306.56,2024-11-24 17:48:11
Kurla,17.22,61.28,497.63,2024-11-24 17:48:16
Nariman Point,105.2,287.23,4496.38,2024-11-24 17:48:21
Nariman Point,128.19,369.29,1514.84,2024-11-24 17:48:26
Versova,328.16,211.71,2045.6,2024-11-24 17:48:31
Bhayandar,11.46,270.03,1210.84,2024-11-24 17:48:36
Mulund,476.77,101.89,4484.79,2024-11-24 17:48:41
Chembur,460.26,69.09,1611.75,2024-11-24 17:48:46
Saki Naka,322.89,39.79,996.55,2024-11-24 17:48:51
Thane,308.84,244.69,2131.34,2024-11-24 17:48:56
Dahisar,460.48,442.89,4258.96,2024-11-24 17:49:01
Vashi,347.43,144.72,1306.73,2024-11-24 17:49:06
Malad,262.26,456.86,2733.73,2024-11-24 17:49:11
Bandra,433.23,357.43,4681.91,2024-11-24 17:49:16
Borivali,14.35,152.74,3023.37,2024-11-24 17:49:21
Lower Parel,396.27,56.91,1990.84,2024-11-24 17:49:26
Chembur,238.31,165.62,603.12,2024-11-24 17:49:31
Kandivali East,0.92,262.96,2852.67,2024-11-24 17:49:36
Dahisar,163.18,89.06,869.52,2024-11-24 17:49:41
Vile Parle,319.97,93.71,4214.71,2024-11-24 17:49:46
Ghatkopar,177.53,152.24,4356.96,2024-11-24 17:49:51
Kandivali West,149.87,265.78,2878.45,2024-11-24 17:49:56
Kurla,386.64,320.8,2463.25,2024-11-24 17:50:01
Versova,144.32,43.03,3027.99,2024-11-24 17:50:06
Andheri,104.96,410.2,1585.28,2024-11-24 17:50:11
Kandivali,31.88,168.37,1701.29,2024-11-24 17:50:16
Kandivali West,259.11,327.83,2545.41,2024-11-24 17:50:21
Mulund,321.97,484.9,803.95,2024-11-24 17:50:26
Mahalaxmi,41.07,92.83,3570.34,2024-11-24 17:50:31
Santacruz,147.24,344.01,3172.64,2024-11-24 17:50:36
Marine Drive,210.23,459.17,1080.29,2024-11-24 17:50:41
Borivali,454.61,209.64,411.28,2024-11-24 17:50:46
Borivali,303.47,427.74,3979.71,2024-11-24 17:50:51
Versova,312.11,48.77,1966.42,2024-11-24 17:50:56
Marine Drive,237.32,113.93,1371.51,2024-11-24 17:51:01
Vashi,473.09,75.09,621.97,2024-11-24 17:51:06
Matunga,299.72,190.45,1113.39,2024-11-24 17:51:11
Kandivali West,92.18,325.27,387.54,2024-11-24 17:51:16
Versova,64.74,385.1,4657.96,2024-11-24 17:51:21
