service,usage,status,timestamp
Electricity,2577.1,Partially Operational,2024-11-24 17:19:53
Water,5757.12,Operational,2024-11-24 17:19:58
Water,9134.65,Operational,2024-11-24 17:20:03
Electricity,7405.78,Operational,2024-11-24 17:20:08
Water,8022.43,Non-Operational,2024-11-24 17:20:13
Water,6406.11,Operational,2024-11-24 17:20:18
Waste Management,3582.54,Partially Operational,2024-11-24 17:20:23
Waste Management,1551.51,Operational,2024-11-24 17:20:28
Waste Management,6180.85,Partially Operational,2024-11-24 17:20:33
Water,2415.06,Operational,2024-11-24 17:20:38
Waste Management,1083.46,Operational,2024-11-24 17:20:43
Waste Management,5983.99,Partially Operational,2024-11-24 17:20:48
Waste Management,8931.18,Operational,2024-11-24 17:20:53
Water,4694.92,Operational,2024-11-24 17:20:58
Electricity,9216.0,Non-Operational,2024-11-24 17:21:03
Water,8053.0,Non-Operational,2024-11-24 17:21:08
Waste Management,4885.82,Partially Operational,2024-11-24 17:21:13
Water,4166.47,Non-Operational,2024-11-24 17:21:18
Waste Management,2874.02,Partially Operational,2024-11-24 17:21:23
Water,1014.48,Operational,2024-11-24 17:21:28
Waste Management,5762.13,Partially Operational,2024-11-24 17:21:33
Water,7505.39,Non-Operational,2024-11-24 17:21:38
Waste Management,4849.83,Partially Operational,2024-11-24 17:21:43
Electricity,4719.17,Operational,2024-11-24 17:21:48
Water,8609.08,Operational,2024-11-24 17:21:53
Electricity,7048.82,Non-Operational,2024-11-24 17:21:58
Water,5973.14,Operational,2024-11-24 17:22:03
Waste Management,5751.78,Operational,2024-11-24 17:22:08
Water,5117.78,Partially Operational,2024-11-24 17:22:13
Electricity,5167.97,Operational,2024-11-24 17:22:18
Waste Management,205.19,Partially Operational,2024-11-24 17:22:23
Water,4570.68,Non-Operational,2024-11-24 17:22:28
Water,5825.09,Non-Operational,2024-11-24 17:22:33
Waste Management,7492.55,Partially Operational,2024-11-24 17:22:38
Waste Management,6030.98,Partially Operational,2024-11-24 17:22:43
Waste Management,8171.39,Operational,2024-11-24 17:22:48
Waste Management,3773.49,Partially Operational,2024-11-24 17:22:53
Electricity,2883.98,Non-Operational,2024-11-24 17:22:58
Waste Management,1365.34,Operational,2024-11-24 17:23:03
Water,4048.06,Partially Operational,2024-11-24 17:23:08
Electricity,5892.07,Operational,2024-11-24 17:23:13
Water,3380.56,Partially Operational,2024-11-24 17:23:18
Waste Management,8032.02,Operational,2024-11-24 17:23:23
Waste Management,3743.12,Non-Operational,2024-11-24 17:23:28
Water,5339.49,Operational,2024-11-24 17:23:33
Electricity,7005.75,Non-Operational,2024-11-24 17:23:38
Waste Management,1187.84,Operational,2024-11-24 17:23:43
Water,703.4,Partially Operational,2024-11-24 17:23:48
Waste Management,778.88,Operational,2024-11-24 17:23:53
Water,8712.55,Operational,2024-11-24 17:23:58
Waste Management,6115.85,Operational,2024-11-24 17:24:03
Water,1742.9,Non-Operational,2024-11-24 17:24:08
Waste Management,2593.12,Non-Operational,2024-11-24 17:24:13
Electricity,7225.89,Non-Operational,2024-11-24 17:24:18
Waste Management,1788.28,Non-Operational,2024-11-24 17:24:23
Waste Management,5043.53,Non-Operational,2024-11-24 17:24:28
Waste Management,4453.85,Partially Operational,2024-11-24 17:24:33
Waste Management,8167.54,Operational,2024-11-24 17:24:38
Waste Management,3079.25,Operational,2024-11-24 17:24:43
Water,1833.17,Non-Operational,2024-11-24 17:24:48
Water,5279.54,Partially Operational,2024-11-24 17:24:53
Waste Management,3205.05,Operational,2024-11-24 17:24:58
Water,3369.19,Non-Operational,2024-11-24 17:25:03
Electricity,6859.49,Operational,2024-11-24 17:25:08
Water,2239.26,Operational,2024-11-24 17:25:13
Electricity,4512.78,Partially Operational,2024-11-24 17:25:18
Electricity,436.85,Operational,2024-11-24 17:25:23
Waste Management,5466.07,Partially Operational,2024-11-24 17:25:28
Electricity,3789.61,Operational,2024-11-24 17:25:33
Waste Management,5696.3,Operational,2024-11-24 17:25:38
Waste Management,3193.9,Operational,2024-11-24 17:25:43
Water,4294.49,Partially Operational,2024-11-24 17:25:48
Waste Management,3801.22,Partially Operational,2024-11-24 17:25:53
Water,819.07,Operational,2024-11-24 17:25:58
Waste Management,6585.08,Partially Operational,2024-11-24 17:26:03
Electricity,1079.71,Operational,2024-11-24 17:26:09
Waste Management,5808.09,Partially Operational,2024-11-24 17:26:14
Waste Management,3313.74,Operational,2024-11-24 17:26:19
Water,8692.57,Partially Operational,2024-11-24 17:26:24
Electricity,2083.9,Partially Operational,2024-11-24 17:26:29
Electricity,8000.03,Partially Operational,2024-11-24 17:26:34
Waste Management,4018.92,Partially Operational,2024-11-24 17:26:39
Water,645.18,Partially Operational,2024-11-24 17:26:44
Water,5004.08,Non-Operational,2024-11-24 17:26:49
Waste Management,9265.06,Partially Operational,2024-11-24 17:26:54
Electricity,604.29,Partially Operational,2024-11-24 17:26:59
Waste Management,6440.44,Operational,2024-11-24 17:27:04
Waste Management,2863.96,Partially Operational,2024-11-24 17:27:09
Water,9897.05,Operational,2024-11-24 17:27:14
Waste Management,3732.86,Operational,2024-11-24 17:27:19
Electricity,139.05,Non-Operational,2024-11-24 17:27:24
Water,620.25,Non-Operational,2024-11-24 17:27:29
Waste Management,4211.2,Partially Operational,2024-11-24 17:27:34
Water,965.88,Partially Operational,2024-11-24 17:27:39
Water,2137.93,Non-Operational,2024-11-24 17:27:44
Waste Management,1114.68,Non-Operational,2024-11-24 17:27:49
Electricity,1896.39,Non-Operational,2024-11-24 17:27:54
Waste Management,4569.6,Partially Operational,2024-11-24 17:27:59
Water,3743.01,Non-Operational,2024-11-24 17:28:04
Water,4411.75,Non-Operational,2024-11-24 17:28:09
Electricity,2484.02,Partially Operational,2024-11-24 17:28:14
Waste Management,1231.17,Partially Operational,2024-11-24 17:28:19
Electricity,6608.84,Partially Operational,2024-11-24 17:28:24
Waste Management,7236.06,Operational,2024-11-24 17:28:29
Electricity,4267.48,Non-Operational,2024-11-24 17:28:34
Electricity,5467.27,Operational,2024-11-24 17:28:39
Electricity,1858.63,Partially Operational,2024-11-24 17:28:44
Waste Management,5535.83,Operational,2024-11-24 17:28:49
Waste Management,9326.3,Partially Operational,2024-11-24 17:28:54
Waste Management,2639.28,Non-Operational,2024-11-24 17:28:59
Waste Management,9775.85,Non-Operational,2024-11-24 17:29:04
Electricity,2446.59,Partially Operational,2024-11-24 17:29:09
Water,1378.57,Non-Operational,2024-11-24 17:29:14
Water,4928.46,Non-Operational,2024-11-24 17:29:19
Water,5350.88,Non-Operational,2024-11-24 17:29:24
Electricity,1587.77,Non-Operational,2024-11-24 17:29:29
Electricity,6928.95,Partially Operational,2024-11-24 17:29:34
Waste Management,8861.22,Partially Operational,2024-11-24 17:29:39
Waste Management,8905.26,Operational,2024-11-24 17:29:44
Waste Management,5543.07,Operational,2024-11-24 17:29:49
Electricity,4394.18,Operational,2024-11-24 17:29:54
Electricity,808.91,Partially Operational,2024-11-24 17:29:59
Waste Management,8541.84,Operational,2024-11-24 17:30:04
Electricity,5671.09,Non-Operational,2024-11-24 17:30:09
Waste Management,1176.79,Operational,2024-11-24 17:30:14
Water,5283.7,Operational,2024-11-24 17:30:19
Waste Management,8110.62,Non-Operational,2024-11-24 17:30:24
Waste Management,8400.92,Partially Operational,2024-11-24 17:30:29
Waste Management,2024.78,Non-Operational,2024-11-24 17:30:34
Water,2942.41,Non-Operational,2024-11-24 17:30:39
Waste Management,1746.21,Partially Operational,2024-11-24 17:30:44
Electricity,9998.56,Non-Operational,2024-11-24 17:30:49
Water,7709.85,Partially Operational,2024-11-24 17:30:54
Electricity,1279.16,Partially Operational,2024-11-24 17:30:59
Electricity,606.46,Non-Operational,2024-11-24 17:31:04
Waste Management,4866.35,Partially Operational,2024-11-24 17:31:09
Waste Management,2358.7,Operational,2024-11-24 17:31:14
Water,7029.27,Non-Operational,2024-11-24 17:31:19
Waste Management,4215.61,Partially Operational,2024-11-24 17:31:24
Waste Management,7668.48,Operational,2024-11-24 17:31:29
Waste Management,3649.14,Partially Operational,2024-11-24 17:31:34
Waste Management,2986.69,Partially Operational,2024-11-24 17:31:39
Electricity,6729.45,Partially Operational,2024-11-24 17:31:44
Water,5636.58,Non-Operational,2024-11-24 17:31:49
Water,1234.03,Operational,2024-11-24 17:31:54
Water,3860.23,Partially Operational,2024-11-24 17:32:00
Electricity,6771.96,Non-Operational,2024-11-24 17:32:05
Water,3872.24,Operational,2024-11-24 17:32:10
Electricity,1220.73,Operational,2024-11-24 17:32:15
Waste Management,2168.62,Operational,2024-11-24 17:32:20
Waste Management,3396.83,Partially Operational,2024-11-24 17:32:25
Electricity,3363.87,Operational,2024-11-24 17:32:30
Waste Management,6143.75,Partially Operational,2024-11-24 17:32:35
Water,4717.24,Non-Operational,2024-11-24 17:32:40
Water,8598.38,Partially Operational,2024-11-24 17:32:45
Waste Management,4919.19,Operational,2024-11-24 17:32:50
Electricity,9122.02,Partially Operational,2024-11-24 17:32:55
Electricity,4868.18,Operational,2024-11-24 17:33:00
Waste Management,9430.09,Operational,2024-11-24 17:33:05
Electricity,2190.41,Partially Operational,2024-11-24 17:33:10
Waste Management,2969.08,Operational,2024-11-24 17:33:15
Electricity,2724.08,Operational,2024-11-24 17:33:20
Waste Management,9878.28,Non-Operational,2024-11-24 17:33:25
Water,1051.38,Non-Operational,2024-11-24 17:33:30
Electricity,9173.83,Partially Operational,2024-11-24 17:33:35
Electricity,5975.9,Operational,2024-11-24 17:33:40
Electricity,9288.81,Non-Operational,2024-11-24 17:33:45
Electricity,954.22,Operational,2024-11-24 17:33:50
Electricity,5122.52,Non-Operational,2024-11-24 17:33:55
Electricity,2298.81,Partially Operational,2024-11-24 17:34:00
Waste Management,6196.33,Partially Operational,2024-11-24 17:34:05
Waste Management,9701.77,Non-Operational,2024-11-24 17:34:10
Water,4348.75,Partially Operational,2024-11-24 17:34:15
Electricity,8088.15,Partially Operational,2024-11-24 17:34:20
Water,3223.92,Partially Operational,2024-11-24 17:34:25
Waste Management,152.96,Partially Operational,2024-11-24 17:34:30
Electricity,8258.66,Non-Operational,2024-11-24 17:34:35
Water,6615.02,Non-Operational,2024-11-24 17:34:40
Electricity,1529.35,Non-Operational,2024-11-24 17:34:45
Water,6595.76,Operational,2024-11-24 17:34:50
Electricity,3445.76,Non-Operational,2024-11-24 17:34:55
Waste Management,2685.27,Partially Operational,2024-11-24 17:35:00
Water,8728.09,Non-Operational,2024-11-24 17:35:05
Water,7443.84,Non-Operational,2024-11-24 17:35:10
Waste Management,6898.46,Non-Operational,2024-11-24 17:35:15
Waste Management,5876.15,Partially Operational,2024-11-24 17:35:20
Electricity,5947.67,Non-Operational,2024-11-24 17:35:25
Waste Management,7967.23,Partially Operational,2024-11-24 17:35:30
Waste Management,8729.35,Operational,2024-11-24 17:35:35
Water,9176.46,Operational,2024-11-24 17:35:40
Water,4451.18,Non-Operational,2024-11-24 17:35:45
Waste Management,7289.74,Operational,2024-11-24 17:35:50
Waste Management,1900.53,Non-Operational,2024-11-24 17:35:55
Water,2961.36,Operational,2024-11-24 17:36:00
Water,3426.55,Non-Operational,2024-11-24 17:36:05
Electricity,8339.58,Non-Operational,2024-11-24 17:36:10
Electricity,4001.41,Partially Operational,2024-11-24 17:36:15
Water,5334.38,Operational,2024-11-24 17:36:20
Water,907.41,Partially Operational,2024-11-24 17:36:25
Electricity,8503.93,Partially Operational,2024-11-24 17:36:30
Electricity,266.01,Non-Operational,2024-11-24 17:36:35
Electricity,3293.96,Partially Operational,2024-11-24 17:36:40
Electricity,4509.22,Partially Operational,2024-11-24 17:36:45
Waste Management,5756.93,Partially Operational,2024-11-24 17:36:50
Electricity,8901.1,Partially Operational,2024-11-24 17:36:55
Water,4054.88,Operational,2024-11-24 17:37:00
Waste Management,3459.87,Partially Operational,2024-11-24 17:37:05
Electricity,9603.11,Operational,2024-11-24 17:37:10
Water,9445.86,Partially Operational,2024-11-24 17:37:15
Water,1185.82,Non-Operational,2024-11-24 17:37:20
Water,692.59,Non-Operational,2024-11-24 17:37:25
Water,7243.69,Non-Operational,2024-11-24 17:37:30
Waste Management,4542.4,Non-Operational,2024-11-24 17:37:35
Waste Management,1220.22,Operational,2024-11-24 17:37:40
Water,5138.18,Non-Operational,2024-11-24 17:37:45
Electricity,4011.38,Non-Operational,2024-11-24 17:37:50
Water,9860.99,Operational,2024-11-24 17:37:55
Electricity,1976.46,Operational,2024-11-24 17:38:00
Water,2773.26,Non-Operational,2024-11-24 17:38:05
Electricity,2699.98,Operational,2024-11-24 17:38:10
Water,6083.01,Operational,2024-11-24 17:38:15
Waste Management,6244.81,Operational,2024-11-24 17:38:20
Waste Management,7534.38,Operational,2024-11-24 17:38:25
Waste Management,5906.99,Partially Operational,2024-11-24 17:38:30
Electricity,5525.31,Operational,2024-11-24 17:38:35
Waste Management,2435.35,Partially Operational,2024-11-24 17:38:40
Water,5646.27,Partially Operational,2024-11-24 17:38:45
Waste Management,5391.38,Non-Operational,2024-11-24 17:38:50
Water,3211.0,Non-Operational,2024-11-24 17:38:55
Water,8693.49,Partially Operational,2024-11-24 17:39:00
Electricity,2121.12,Non-Operational,2024-11-24 17:39:05
Waste Management,8888.33,Partially Operational,2024-11-24 17:39:10
Waste Management,7900.3,Non-Operational,2024-11-24 17:39:15
Waste Management,7786.99,Partially Operational,2024-11-24 17:39:20
Water,4714.0,Non-Operational,2024-11-24 17:39:25
Electricity,3061.14,Partially Operational,2024-11-24 17:39:30
Waste Management,2793.93,Non-Operational,2024-11-24 17:39:35
Water,6448.59,Partially Operational,2024-11-24 17:39:40
Electricity,1107.96,Partially Operational,2024-11-24 17:39:45
Waste Management,8451.45,Operational,2024-11-24 17:39:50
Waste Management,5713.01,Operational,2024-11-24 17:39:55
Electricity,9665.45,Operational,2024-11-24 17:40:00
Electricity,9822.87,Partially Operational,2024-11-24 17:40:05
Electricity,8038.34,Non-Operational,2024-11-24 17:40:10
Waste Management,9966.39,Operational,2024-11-24 17:40:15
Water,3595.15,Non-Operational,2024-11-24 17:40:20
Water,9211.15,Operational,2024-11-24 17:40:25
Waste Management,1839.39,Partially Operational,2024-11-24 17:40:30
Water,6098.75,Partially Operational,2024-11-24 17:40:35
Water,8982.43,Operational,2024-11-24 17:40:40
Waste Management,481.48,Operational,2024-11-24 17:40:45
Water,8422.05,Operational,2024-11-24 17:40:50
Water,7800.06,Operational,2024-11-24 17:40:55
Water,4190.8,Operational,2024-11-24 17:41:00
Electricity,2932.63,Operational,2024-11-24 17:41:05
Electricity,4129.46,Non-Operational,2024-11-24 17:41:10
Waste Management,9135.22,Partially Operational,2024-11-24 17:41:15
Waste Management,8859.14,Non-Operational,2024-11-24 17:41:20
Waste Management,4100.28,Non-Operational,2024-11-24 17:41:25
Electricity,6612.74,Operational,2024-11-24 17:41:30
Electricity,4295.53,Non-Operational,2024-11-24 17:41:35
Water,2966.22,Non-Operational,2024-11-24 17:41:40
Water,7698.4,Non-Operational,2024-11-24 17:41:45
Water,4675.35,Operational,2024-11-24 17:41:50
Water,9915.48,Non-Operational,2024-11-24 17:41:55
Electricity,8700.85,Non-Operational,2024-11-24 17:42:00
Electricity,8813.6,Operational,2024-11-24 17:42:05
Waste Management,8477.77,Non-Operational,2024-11-24 17:42:10
Electricity,9339.08,Non-Operational,2024-11-24 17:42:15
Water,6225.69,Partially Operational,2024-11-24 17:42:20
Waste Management,4891.6,Partially Operational,2024-11-24 17:42:25
Waste Management,3362.18,Operational,2024-11-24 17:42:30
Water,3104.15,Operational,2024-11-24 17:42:35
Electricity,715.09,Operational,2024-11-24 17:42:40
Waste Management,9323.86,Partially Operational,2024-11-24 17:42:45
Electricity,7124.5,Partially Operational,2024-11-24 17:42:50
Waste Management,4429.71,Partially Operational,2024-11-24 17:42:55
Water,134.73,Non-Operational,2024-11-24 17:43:00
Waste Management,3947.47,Partially Operational,2024-11-24 17:43:05
Water,7597.81,Non-Operational,2024-11-24 17:43:10
Waste Management,4296.84,Non-Operational,2024-11-24 17:43:16
Water,9788.46,Operational,2024-11-24 17:43:21
Water,371.87,Partially Operational,2024-11-24 17:43:26
Water,6169.72,Operational,2024-11-24 17:43:31
Waste Management,8934.97,Operational,2024-11-24 17:43:36
Electricity,3741.28,Partially Operational,2024-11-24 17:43:41
Waste Management,6422.25,Operational,2024-11-24 17:43:46
Electricity,1232.44,Operational,2024-11-24 17:43:51
Electricity,2402.44,Operational,2024-11-24 17:43:56
Water,1963.37,Non-Operational,2024-11-24 17:44:01
Water,1221.87,Operational,2024-11-24 17:44:06
Electricity,1003.96,Operational,2024-11-24 17:44:11
Electricity,4687.74,Operational,2024-11-24 17:44:16
Water,6455.35,Partially Operational,2024-11-24 17:44:21
Waste Management,3795.75,Non-Operational,2024-11-24 17:44:26
Electricity,3467.5,Operational,2024-11-24 17:44:31
Water,6319.37,Partially Operational,2024-11-24 17:44:36
Waste Management,7151.03,Non-Operational,2024-11-24 17:44:41
Water,7473.03,Non-Operational,2024-11-24 17:44:46
Waste Management,1815.37,Partially Operational,2024-11-24 17:44:51
Electricity,4259.45,Partially Operational,2024-11-24 17:44:56
Water,4202.57,Operational,2024-11-24 17:45:01
Electricity,3963.16,Operational,2024-11-24 17:45:06
Waste Management,9330.99,Non-Operational,2024-11-24 17:45:11
Waste Management,1640.22,Partially Operational,2024-11-24 17:45:16
Water,5772.86,Partially Operational,2024-11-24 17:45:21
Electricity,3712.1,Operational,2024-11-24 17:45:26
Water,4931.89,Partially Operational,2024-11-24 17:45:31
Water,2186.53,Non-Operational,2024-11-24 17:45:36
Waste Management,7171.41,Operational,2024-11-24 17:45:41
Water,6999.88,Operational,2024-11-24 17:45:46
Waste Management,6964.95,Operational,2024-11-24 17:45:51
Electricity,2374.47,Non-Operational,2024-11-24 17:45:56
Waste Management,4304.74,Partially Operational,2024-11-24 17:46:01
Water,6905.36,Operational,2024-11-24 17:46:06
Waste Management,5239.96,Non-Operational,2024-11-24 17:46:11
Electricity,4316.03,Non-Operational,2024-11-24 17:46:16
Waste Management,7667.94,Non-Operational,2024-11-24 17:46:21
Waste Management,5462.75,Non-Operational,2024-11-24 17:46:26
Electricity,7775.16,Non-Operational,2024-11-24 17:46:31
Waste Management,385.56,Partially Operational,2024-11-24 17:46:36
Waste Management,8549.46,Partially Operational,2024-11-24 17:46:41
Waste Management,2947.83,Partially Operational,2024-11-24 17:46:46
Waste Management,714.67,Non-Operational,2024-11-24 17:46:51
Electricity,3744.31,Partially Operational,2024-11-24 17:46:56
Waste Management,6963.02,Partially Operational,2024-11-24 17:47:01
Waste Management,1596.2,Partially Operational,2024-11-24 17:47:06
Electricity,6709.24,Partially Operational,2024-11-24 17:47:11
Waste Management,8523.5,Non-Operational,2024-11-24 17:47:16
Water,1705.93,Non-Operational,2024-11-24 17:47:21
Waste Management,2145.28,Non-Operational,2024-11-24 17:47:26
Electricity,788.19,Non-Operational,2024-11-24 17:47:31
Water,3632.15,Operational,2024-11-24 17:47:36
Waste Management,4635.14,Partially Operational,2024-11-24 17:47:41
Waste Management,8564.2,Non-Operational,2024-11-24 17:47:46
Electricity,1046.4,Non-Operational,2024-11-24 17:47:51
Electricity,6879.78,Operational,2024-11-24 17:47:56
Water,8772.53,Partially Operational,2024-11-24 17:48:01
Water,9858.51,Operational,2024-11-24 17:48:06
Waste Management,5704.22,Partially Operational,2024-11-24 17:48:11
Water,3371.77,Operational,2024-11-24 17:48:16
Electricity,3153.02,Partially Operational,2024-11-24 17:48:21
Waste Management,7647.76,Partially Operational,2024-11-24 17:48:26
Waste Management,9376.54,Non-Operational,2024-11-24 17:48:31
Waste Management,9239.22,Non-Operational,2024-11-24 17:48:36
Water,2523.87,Non-Operational,2024-11-24 17:48:41
Waste Management,5362.68,Partially Operational,2024-11-24 17:48:46
Electricity,3611.35,Operational,2024-11-24 17:48:51
Electricity,8930.87,Operational,2024-11-24 17:48:56
Waste Management,3548.14,Operational,2024-11-24 17:49:01
Electricity,8440.04,Partially Operational,2024-11-24 17:49:06
Electricity,8418.86,Non-Operational,2024-11-24 17:49:11
Waste Management,1422.37,Partially Operational,2024-11-24 17:49:16
Waste Management,8325.74,Partially Operational,2024-11-24 17:49:21
Electricity,1223.51,Operational,2024-11-24 17:49:26
Waste Management,2439.87,Partially Operational,2024-11-24 17:49:31
Electricity,4912.32,Operational,2024-11-24 17:49:36
Water,5834.09,Non-Operational,2024-11-24 17:49:41
Electricity,1166.49,Partially Operational,2024-11-24 17:49:46
Electricity,7779.05,Non-Operational,2024-11-24 17:49:51
Electricity,4751.0,Partially Operational,2024-11-24 17:49:56
Water,6073.1,Operational,2024-11-24 17:50:01
Waste Management,539.36,Partially Operational,2024-11-24 17:50:06
Waste Management,1905.96,Partially Operational,2024-11-24 17:50:11
Water,7856.24,Partially Operational,2024-11-24 17:50:16
Water,9634.0,Operational,2024-11-24 17:50:21
Waste Management,2697.96,Partially Operational,2024-11-24 17:50:26
Electricity,2437.4,Non-Operational,2024-11-24 17:50:31
Electricity,7673.91,Partially Operational,2024-11-24 17:50:36
Electricity,1224.43,Non-Operational,2024-11-24 17:50:41
Electricity,7357.71,Non-Operational,2024-11-24 17:50:46
Electricity,2929.65,Operational,2024-11-24 17:50:51
Waste Management,253.8,Operational,2024-11-24 17:50:56
Waste Management,5388.09,Operational,2024-11-24 17:51:01
Water,6940.19,Non-Operational,2024-11-24 17:51:06
Electricity,3367.32,Operational,2024-11-24 17:51:11
Water,7841.17,Operational,2024-11-24 17:51:16
Water,776.75,Partially Operational,2024-11-24 17:51:21
Water,8523.31,Partially Operational,2024-11-24 17:51:26
Water,3993.09,Non-Operational,2024-11-24 17:51:31
Waste Management,1498.59,Partially Operational,2024-11-24 17:51:36
Electricity,2241.93,Non-Operational,2024-11-24 17:51:41
Waste Management,8480.81,Partially Operational,2024-11-24 17:51:46
Electricity,7752.7,Partially Operational,2024-11-24 17:51:51
Electricity,3294.11,Non-Operational,2024-11-24 17:51:56
Water,1042.25,Operational,2024-11-24 17:52:01
Electricity,3862.07,Partially Operational,2024-11-24 17:52:06
Waste Management,7403.91,Partially Operational,2024-11-24 17:52:11
Water,3978.81,Non-Operational,2024-11-24 17:52:16
Waste Management,3649.26,Partially Operational,2024-11-24 17:52:21
Water,2879.17,Partially Operational,2024-11-24 17:52:26
Electricity,7371.52,Operational,2024-11-24 17:52:31
Electricity,2254.08,Non-Operational,2024-11-24 17:52:36
Electricity,1482.32,Partially Operational,2024-11-24 17:52:41
Water,5041.24,Partially Operational,2024-11-24 17:52:46
Electricity,7164.53,Non-Operational,2024-11-24 17:52:51
Electricity,4705.46,Non-Operational,2024-11-24 17:52:56
Electricity,1802.97,Partially Operational,2024-11-24 17:53:01
Electricity,598.46,Non-Operational,2024-11-24 17:53:06
Waste Management,7676.61,Non-Operational,2024-11-24 17:53:11
Electricity,3392.13,Non-Operational,2024-11-24 17:53:16
Electricity,8267.4,Operational,2024-11-24 17:53:21
Waste Management,7297.23,Partially Operational,2024-11-24 17:53:26
Water,8951.16,Non-Operational,2024-11-24 17:53:31
Waste Management,9220.6,Operational,2024-11-24 17:53:37
Water,5049.67,Partially Operational,2024-11-24 17:53:42
Water,3092.01,Operational,2024-11-24 17:53:47
Water,5056.3,Non-Operational,2024-11-24 17:53:52
Electricity,6034.1,Operational,2024-11-24 17:53:57
Electricity,1316.39,Operational,2024-11-24 17:54:02
Electricity,9615.53,Non-Operational,2024-11-24 17:54:07
Water,6001.26,Partially Operational,2024-11-24 17:54:12
Water,3539.89,Operational,2024-11-24 17:54:17
Water,9169.18,Partially Operational,2024-11-24 17:54:22
Water,7613.32,Non-Operational,2024-11-24 17:54:27
Waste Management,2296.24,Partially Operational,2024-11-24 17:54:32
Waste Management,7402.48,Operational,2024-11-24 17:54:37
Waste Management,4607.66,Operational,2024-11-24 17:54:42
Waste Management,909.06,Partially Operational,2024-11-24 17:54:47
Electricity,3923.61,Operational,2024-11-24 17:54:52
Electricity,6113.48,Operational,2024-11-24 17:54:57
Waste Management,9329.04,Partially Operational,2024-11-24 17:55:02
Water,493.73,Non-Operational,2024-11-24 17:55:07
Electricity,7811.76,Partially Operational,2024-11-24 17:55:12
