location,temperature,humidity,rainfall,wind_speed,timestamp
Borivali,-0.39,78,3.37,6.03,2024-11-24 17:18:28
Saki Naka,14.64,67,172.6,7.8,2024-11-24 17:18:33
Bhayandar,20.94,93,30.59,17.97,2024-11-24 17:18:38
Santacruz,34.48,95,17.53,10.14,2024-11-24 17:18:43
Sion,32.85,31,85.6,2.23,2024-11-24 17:18:48
Santacruz,6.52,55,29.68,6.28,2024-11-24 17:18:53
Versova,-2.18,81,165.6,9.02,2024-11-24 17:18:58
Kandivali,39.56,38,64.73,8.12,2024-11-24 17:19:03
Dahisar,30.88,98,119.62,9.84,2024-11-24 17:19:08
Jogeshwari,13.63,37,154.41,15.91,2024-11-24 17:19:13
Santacruz,39.59,95,141.74,12.76,2024-11-24 17:19:18
Khar,19.91,94,151.18,9.04,2024-11-24 17:19:23
Parel,38.79,48,88.87,14.48,2024-11-24 17:19:28
Ghatkopar,19.87,39,70.15,12.78,2024-11-24 17:19:33
Colaba,13.25,68,73.66,13.78,2024-11-24 17:19:38
Marine Drive,11.64,50,177.73,4.39,2024-11-24 17:19:43
Worli,15.76,54,149.36,6.28,2024-11-24 17:19:48
Mulund,37.67,45,67.51,4.1,2024-11-24 17:19:53
Parel,13.88,47,190.09,4.53,2024-11-24 17:19:58
Mahalaxmi,36.27,65,78.07,19.91,2024-11-24 17:20:03
Vile Parle,30.04,37,3.65,13.85,2024-11-24 17:20:08
Prabhadevi,-1.38,91,193.58,5.81,2024-11-24 17:20:13
Kurla,1.77,32,98.72,11.62,2024-11-24 17:20:18
Borivali,11.35,69,37.67,12.13,2024-11-24 17:20:23
Kurla,7.15,55,45.68,7.06,2024-11-24 17:20:28
Saki Naka,5.96,25,200.0,13.85,2024-11-24 17:20:33
Malad,15.4,55,37.63,5.12,2024-11-24 17:20:38
Ghatkopar,19.29,66,9.69,14.25,2024-11-24 17:20:43
Kurla,-2.4,94,43.29,15.07,2024-11-24 17:20:48
Chembur,1.17,55,34.09,3.57,2024-11-24 17:20:53
Kandivali,-7.65,100,20.65,10.56,2024-11-24 17:20:58
Andheri,-4.6,55,3.59,19.96,2024-11-24 17:21:03
Sion,5.07,98,179.16,1.79,2024-11-24 17:21:08
Kandivali,7.21,34,181.29,3.57,2024-11-24 17:21:13
Vile Parle,26.81,82,65.98,18.47,2024-11-24 17:21:18
Borivali,4.73,66,80.74,4.99,2024-11-24 17:21:23
Santacruz,26.3,56,108.98,9.81,2024-11-24 17:21:28
Vashi,29.59,34,71.26,8.95,2024-11-24 17:21:33
Andheri,21.27,32,165.98,13.08,2024-11-24 17:21:38
Kandivali,6.38,98,173.72,4.14,2024-11-24 17:21:43
Jogeshwari,22.11,52,98.16,13.38,2024-11-24 17:21:48
Ghatkopar,20.48,55,91.12,2.13,2024-11-24 17:21:53
Vashi,23.52,60,166.55,3.11,2024-11-24 17:21:58
Thane,-0.45,83,10.73,5.96,2024-11-24 17:22:03
Mahalaxmi,39.18,89,176.37,2.3,2024-11-24 17:22:08
Vashi,16.31,53,112.45,0.55,2024-11-24 17:22:13
Matunga,18.87,57,0.14,6.15,2024-11-24 17:22:18
Sion,-4.72,55,154.28,1.86,2024-11-24 17:22:23
Khar,2.36,72,154.19,1.53,2024-11-24 17:22:28
Bhayandar,1.33,61,91.57,16.65,2024-11-24 17:22:33
Dahisar,-4.33,50,87.87,9.11,2024-11-24 17:22:38
Vashi,-5.89,87,31.88,7.55,2024-11-24 17:22:43
Santacruz,13.1,95,122.63,1.19,2024-11-24 17:22:48
Mulund,-7.76,98,153.82,0.02,2024-11-24 17:22:53
Parel,30.1,46,138.08,1.66,2024-11-24 17:22:58
Khar,-0.95,69,21.96,4.81,2024-11-24 17:23:03
Matunga,11.16,62,192.31,15.93,2024-11-24 17:23:08
Borivali,18.1,33,91.79,13.1,2024-11-24 17:23:13
Bandra,33.3,24,89.73,19.35,2024-11-24 17:23:18
Lower Parel,3.14,56,135.54,10.03,2024-11-24 17:23:23
Worli,11.32,66,189.14,13.88,2024-11-24 17:23:28
Bhayandar,16.85,62,5.32,7.13,2024-11-24 17:23:33
Kandivali West,9.94,61,140.81,16.99,2024-11-24 17:23:38
Versova,-4.82,96,5.71,12.19,2024-11-24 17:23:43
Bandra,3.2,77,154.73,3.92,2024-11-24 17:23:48
Ghatkopar,36.43,34,59.21,15.04,2024-11-24 17:23:53
Mahalaxmi,-7.93,73,45.55,1.23,2024-11-24 17:23:58
Colaba,5.92,70,66.49,16.55,2024-11-24 17:24:03
Chembur,7.86,52,160.08,17.47,2024-11-24 17:24:08
Colaba,11.48,84,7.4,2.8,2024-11-24 17:24:13
Matunga,10.1,45,192.95,9.95,2024-11-24 17:24:18
Versova,23.68,27,56.36,19.71,2024-11-24 17:24:23
Ghatkopar,35.97,75,112.64,7.99,2024-11-24 17:24:28
Kandivali West,15.88,85,189.63,17.9,2024-11-24 17:24:33
Khar,37.38,42,174.63,10.07,2024-11-24 17:24:38
Khar,27.35,31,1.87,17.15,2024-11-24 17:24:43
Versova,12.0,34,165.56,4.09,2024-11-24 17:24:48
Marine Drive,3.91,100,76.87,14.68,2024-11-24 17:24:53
Santacruz,0.46,78,53.58,14.26,2024-11-24 17:24:58
Ghatkopar,10.81,20,95.45,9.51,2024-11-24 17:25:03
Matunga,-7.91,69,153.06,7.8,2024-11-24 17:25:08
Lower Parel,37.87,74,54.54,13.91,2024-11-24 17:25:13
Saki Naka,5.51,56,62.87,1.82,2024-11-24 17:25:18
Khar,26.93,31,137.1,16.26,2024-11-24 17:25:23
Bhayandar,-6.64,86,147.5,2.51,2024-11-24 17:25:28
Borivali,36.85,21,87.62,3.39,2024-11-24 17:25:33
Ghatkopar,2.29,35,19.7,14.1,2024-11-24 17:25:38
Colaba,-7.79,95,159.9,14.64,2024-11-24 17:25:43
Thane,11.31,75,16.12,9.78,2024-11-24 17:25:48
Vile Parle,-5.71,94,54.41,11.63,2024-11-24 17:25:53
Marine Drive,25.6,80,130.97,1.17,2024-11-24 17:25:58
Kurla,2.62,62,188.39,6.59,2024-11-24 17:26:03
Khar,-8.0,52,139.65,11.36,2024-11-24 17:26:09
Khar,28.25,44,104.34,5.11,2024-11-24 17:26:14
Kandivali,23.88,27,56.09,9.78,2024-11-24 17:26:19
Nariman Point,-4.93,31,178.29,8.81,2024-11-24 17:26:24
Lower Parel,-2.07,50,187.1,19.57,2024-11-24 17:26:29
Parel,31.2,28,14.37,0.45,2024-11-24 17:26:34
Malad,3.44,57,7.49,19.34,2024-11-24 17:26:39
Colaba,5.2,58,5.25,11.77,2024-11-24 17:26:44
Vile Parle,18.63,45,193.6,12.94,2024-11-24 17:26:49
Vile Parle,-8.2,36,144.27,6.03,2024-11-24 17:26:54
Bandra,17.96,23,155.94,6.04,2024-11-24 17:26:59
Borivali,-0.25,37,131.21,5.58,2024-11-24 17:27:04
Mulund,-2.3,100,135.81,4.13,2024-11-24 17:27:09
Marine Drive,-6.86,51,80.67,3.3,2024-11-24 17:27:14
Kandivali,33.82,21,83.5,4.08,2024-11-24 17:27:19
Mulund,-0.01,52,168.09,17.92,2024-11-24 17:27:24
Marine Drive,4.11,53,134.13,1.58,2024-11-24 17:27:29
Vashi,-3.94,62,95.68,13.71,2024-11-24 17:27:34
Dahisar,26.21,72,9.35,19.86,2024-11-24 17:27:39
Vashi,32.33,25,44.46,11.42,2024-11-24 17:27:44
Thane,2.69,48,69.09,15.78,2024-11-24 17:27:49
Lower Parel,11.76,88,41.52,2.24,2024-11-24 17:27:54
Malad,-3.62,28,86.56,9.97,2024-11-24 17:27:59
Mulund,2.21,42,123.6,13.8,2024-11-24 17:28:04
Ghatkopar,-3.26,62,12.42,9.43,2024-11-24 17:28:09
Colaba,34.02,52,112.86,16.43,2024-11-24 17:28:14
Prabhadevi,19.16,26,115.63,15.0,2024-11-24 17:28:19
Thane,17.32,66,97.73,4.21,2024-11-24 17:28:24
Vile Parle,-4.62,41,48.64,8.12,2024-11-24 17:28:29
Ghatkopar,15.4,22,161.04,19.58,2024-11-24 17:28:34
Nariman Point,13.09,80,38.3,2.63,2024-11-24 17:28:39
Nariman Point,0.97,76,92.73,3.36,2024-11-24 17:28:44
Jogeshwari,-7.86,64,87.42,5.58,2024-11-24 17:28:49
Kandivali East,13.39,81,41.89,17.15,2024-11-24 17:28:54
Vile Parle,1.4,32,184.35,5.69,2024-11-24 17:28:59
Santacruz,13.98,22,92.58,2.9,2024-11-24 17:29:04
Jogeshwari,15.73,93,137.48,4.09,2024-11-24 17:29:09
Sion,9.67,83,171.02,11.97,2024-11-24 17:29:14
Vashi,36.38,20,132.94,17.4,2024-11-24 17:29:19
Worli,21.46,81,115.66,3.76,2024-11-24 17:29:24
Kandivali West,-9.92,24,48.14,0.89,2024-11-24 17:29:29
Kandivali West,-4.93,68,52.0,11.65,2024-11-24 17:29:34
Bhayandar,15.29,65,131.58,19.75,2024-11-24 17:29:39
Colaba,25.57,88,100.63,5.83,2024-11-24 17:29:44
Worli,9.68,60,3.19,15.62,2024-11-24 17:29:49
Dadar,21.49,86,54.3,15.38,2024-11-24 17:29:54
Colaba,-4.68,75,113.46,4.97,2024-11-24 17:29:59
Santacruz,29.28,55,49.63,6.84,2024-11-24 17:30:04
Jogeshwari,18.3,20,19.7,2.79,2024-11-24 17:30:09
Matunga,24.11,83,120.29,11.98,2024-11-24 17:30:14
Chembur,-5.5,91,165.37,15.96,2024-11-24 17:30:19
Marine Drive,5.2,26,0.93,13.27,2024-11-24 17:30:24
Saki Naka,28.04,95,44.91,1.27,2024-11-24 17:30:29
Kandivali West,39.78,62,17.53,16.3,2024-11-24 17:30:34
Parel,15.99,25,193.58,1.97,2024-11-24 17:30:39
Worli,27.39,33,61.7,19.39,2024-11-24 17:30:44
Bandra,6.43,34,144.26,2.26,2024-11-24 17:30:49
Prabhadevi,4.69,21,46.81,19.17,2024-11-24 17:30:54
Parel,-2.76,20,167.55,0.34,2024-11-24 17:30:59
Versova,0.67,49,103.06,9.45,2024-11-24 17:31:04
Worli,14.47,96,54.91,0.39,2024-11-24 17:31:09
Kandivali West,17.78,45,133.46,17.93,2024-11-24 17:31:14
Bhayandar,8.83,77,42.01,14.87,2024-11-24 17:31:19
Versova,3.12,34,159.32,11.89,2024-11-24 17:31:24
Nariman Point,10.38,78,150.38,1.19,2024-11-24 17:31:29
Kandivali West,3.51,60,19.4,4.9,2024-11-24 17:31:34
Worli,32.46,28,0.4,14.26,2024-11-24 17:31:39
Bandra,19.93,31,63.14,12.38,2024-11-24 17:31:44
Parel,-8.57,66,64.08,18.83,2024-11-24 17:31:49
Versova,27.19,29,125.49,5.89,2024-11-24 17:31:54
Lower Parel,30.44,50,23.58,7.62,2024-11-24 17:31:59
Santacruz,33.67,70,154.49,3.11,2024-11-24 17:32:05
Kurla,24.82,40,142.26,19.7,2024-11-24 17:32:10
Andheri,16.7,88,80.08,18.28,2024-11-24 17:32:15
Kandivali West,2.28,73,19.78,9.66,2024-11-24 17:32:20
Andheri,35.72,80,88.15,18.6,2024-11-24 17:32:25
Kurla,35.33,79,167.91,0.45,2024-11-24 17:32:30
Bhayandar,4.97,89,0.04,3.92,2024-11-24 17:32:35
Marine Drive,16.51,48,124.0,3.9,2024-11-24 17:32:40
Kandivali West,16.94,97,30.01,13.85,2024-11-24 17:32:45
Matunga,34.78,74,161.23,12.48,2024-11-24 17:32:50
Lower Parel,-4.68,22,119.2,12.68,2024-11-24 17:32:55
Ghatkopar,38.21,53,195.26,3.36,2024-11-24 17:33:00
Prabhadevi,15.21,91,46.58,1.26,2024-11-24 17:33:05
Nariman Point,3.11,67,182.15,5.8,2024-11-24 17:33:10
Saki Naka,14.98,73,131.53,14.34,2024-11-24 17:33:15
Matunga,1.7,26,54.97,13.39,2024-11-24 17:33:20
Dadar,4.22,46,127.29,2.5,2024-11-24 17:33:25
Kandivali,12.62,76,148.48,14.68,2024-11-24 17:33:30
Jogeshwari,13.45,74,21.3,0.84,2024-11-24 17:33:35
Andheri,22.98,96,109.62,12.06,2024-11-24 17:33:40
Mulund,21.88,85,176.31,13.33,2024-11-24 17:33:45
Khar,36.3,87,111.23,0.57,2024-11-24 17:33:50
Dahisar,25.88,32,165.77,9.14,2024-11-24 17:33:55
Bandra,-4.23,94,28.48,0.35,2024-11-24 17:34:00
Ghatkopar,34.78,81,37.26,9.73,2024-11-24 17:34:05
Kandivali East,-1.02,73,84.37,4.44,2024-11-24 17:34:10
Vile Parle,0.37,36,59.68,8.09,2024-11-24 17:34:15
Marine Drive,19.87,36,76.49,11.97,2024-11-24 17:34:20
Kandivali,-5.28,89,15.51,2.03,2024-11-24 17:34:25
Matunga,28.97,23,176.98,17.36,2024-11-24 17:34:30
Matunga,22.71,72,67.67,5.12,2024-11-24 17:34:35
Jogeshwari,17.0,63,192.76,18.89,2024-11-24 17:34:40
Nariman Point,8.58,26,132.14,12.18,2024-11-24 17:34:45
Marine Drive,14.29,74,125.97,16.85,2024-11-24 17:34:50
Borivali,3.8,62,123.0,3.09,2024-11-24 17:34:55
Worli,-0.85,97,128.09,15.15,2024-11-24 17:35:00
Nariman Point,24.91,74,59.8,6.95,2024-11-24 17:35:05
Andheri,1.97,43,149.94,16.71,2024-11-24 17:35:10
Vile Parle,-5.48,73,24.77,19.57,2024-11-24 17:35:15
Kandivali West,38.41,38,98.56,5.96,2024-11-24 17:35:20
Santacruz,-5.17,75,13.18,11.47,2024-11-24 17:35:25
Mahalaxmi,28.96,63,121.74,5.59,2024-11-24 17:35:30
Lower Parel,-4.68,73,34.72,18.93,2024-11-24 17:35:35
Dadar,-8.84,33,179.71,19.51,2024-11-24 17:35:40
Vashi,11.96,81,1.02,1.29,2024-11-24 17:35:45
Borivali,37.49,97,189.65,4.88,2024-11-24 17:35:50
Parel,7.14,95,193.67,16.92,2024-11-24 17:35:55
Jogeshwari,0.54,61,36.12,6.53,2024-11-24 17:36:00
Kandivali West,7.22,92,92.83,12.26,2024-11-24 17:36:05
Santacruz,3.12,84,131.58,9.43,2024-11-24 17:36:10
Nariman Point,8.25,24,35.77,5.86,2024-11-24 17:36:15
Lower Parel,31.55,37,170.19,14.57,2024-11-24 17:36:20
Mulund,6.67,91,62.85,7.71,2024-11-24 17:36:25
Nariman Point,10.02,89,88.08,10.14,2024-11-24 17:36:30
Vile Parle,-7.63,92,130.35,0.78,2024-11-24 17:36:35
Bandra,39.6,57,158.2,2.81,2024-11-24 17:36:40
Jogeshwari,-3.0,35,10.54,4.91,2024-11-24 17:36:45
Jogeshwari,9.74,39,38.34,8.02,2024-11-24 17:36:50
Versova,14.58,92,8.34,13.56,2024-11-24 17:36:55
Prabhadevi,19.42,84,76.5,14.02,2024-11-24 17:37:00
Prabhadevi,36.1,39,11.86,8.38,2024-11-24 17:37:05
Borivali,10.22,46,144.32,18.64,2024-11-24 17:37:10
Prabhadevi,28.84,79,197.48,8.98,2024-11-24 17:37:15
Bhayandar,16.72,91,97.94,2.42,2024-11-24 17:37:20
Mulund,1.32,49,169.59,3.78,2024-11-24 17:37:25
Vile Parle,23.32,99,186.03,18.47,2024-11-24 17:37:30
Bhayandar,21.84,49,166.78,16.42,2024-11-24 17:37:35
Bhayandar,9.94,37,109.61,11.73,2024-11-24 17:37:40
Kandivali West,14.53,25,62.33,4.4,2024-11-24 17:37:45
Bandra,4.83,50,127.02,2.38,2024-11-24 17:37:50
Andheri,2.39,88,144.53,6.09,2024-11-24 17:37:55
Borivali,30.17,82,91.32,4.61,2024-11-24 17:38:00
Worli,36.42,48,63.98,19.6,2024-11-24 17:38:05
Malad,38.1,76,135.74,15.21,2024-11-24 17:38:10
Versova,-1.3,72,155.64,6.41,2024-11-24 17:38:15
Bandra,18.03,63,23.96,4.41,2024-11-24 17:38:20
Ghatkopar,-2.68,32,10.0,13.8,2024-11-24 17:38:25
Andheri,19.33,49,10.04,5.39,2024-11-24 17:38:30
Versova,9.83,99,16.47,9.94,2024-11-24 17:38:35
Dadar,22.2,71,110.69,15.16,2024-11-24 17:38:40
Lower Parel,20.89,25,55.7,7.34,2024-11-24 17:38:45
Chembur,13.34,41,151.07,19.82,2024-11-24 17:38:50
Mahalaxmi,25.44,90,122.51,16.53,2024-11-24 17:38:55
Prabhadevi,2.18,98,124.61,11.31,2024-11-24 17:39:00
Ghatkopar,8.32,78,134.85,13.69,2024-11-24 17:39:05
Mulund,35.46,86,188.15,13.25,2024-11-24 17:39:10
Chembur,35.27,98,107.6,7.22,2024-11-24 17:39:15
Bandra,28.91,73,40.41,5.56,2024-11-24 17:39:20
Versova,-9.35,65,18.54,19.13,2024-11-24 17:39:25
Thane,-4.08,76,155.21,14.17,2024-11-24 17:39:30
Dadar,7.69,41,116.82,13.17,2024-11-24 17:39:35
Kandivali West,33.86,41,175.71,1.51,2024-11-24 17:39:40
Mahalaxmi,30.89,38,123.22,19.06,2024-11-24 17:39:45
Ghatkopar,20.01,45,113.38,1.42,2024-11-24 17:39:50
Prabhadevi,-0.17,67,16.12,2.27,2024-11-24 17:39:55
Kurla,6.54,40,164.76,5.86,2024-11-24 17:40:00
Kandivali West,38.33,80,115.97,6.1,2024-11-24 17:40:05
Prabhadevi,13.09,92,55.89,19.05,2024-11-24 17:40:10
Thane,15.36,75,79.93,0.47,2024-11-24 17:40:15
Andheri,22.55,58,65.83,18.58,2024-11-24 17:40:20
Colaba,-5.46,48,115.07,18.99,2024-11-24 17:40:25
Ghatkopar,37.13,86,52.09,5.75,2024-11-24 17:40:30
Marine Drive,-8.94,50,14.29,5.38,2024-11-24 17:40:35
Bhayandar,6.22,69,75.25,8.36,2024-11-24 17:40:40
Bhayandar,13.28,27,43.22,11.16,2024-11-24 17:40:45
Bandra,38.75,47,56.18,12.19,2024-11-24 17:40:50
Bandra,22.59,91,67.28,12.53,2024-11-24 17:40:55
Ghatkopar,-2.71,45,129.68,19.13,2024-11-24 17:41:00
Versova,28.83,67,127.12,10.0,2024-11-24 17:41:05
Mulund,32.06,82,199.52,11.38,2024-11-24 17:41:10
Colaba,-0.96,84,4.02,7.08,2024-11-24 17:41:15
Chembur,28.84,94,26.41,5.75,2024-11-24 17:41:20
Kandivali West,30.3,27,13.78,19.89,2024-11-24 17:41:25
Nariman Point,0.15,68,134.6,8.7,2024-11-24 17:41:30
Kandivali,16.61,25,196.44,10.79,2024-11-24 17:41:35
Colaba,4.72,60,169.3,15.17,2024-11-24 17:41:40
Kandivali East,14.86,91,47.25,6.4,2024-11-24 17:41:45
Malad,22.49,71,91.47,17.74,2024-11-24 17:41:50
Khar,6.93,21,171.18,6.53,2024-11-24 17:41:55
Mahalaxmi,-5.85,71,46.41,1.62,2024-11-24 17:42:00
Versova,14.88,76,63.83,15.23,2024-11-24 17:42:05
Jogeshwari,25.01,26,53.82,12.53,2024-11-24 17:42:10
Mahalaxmi,4.76,38,115.37,10.73,2024-11-24 17:42:15
Mulund,0.48,95,18.12,4.0,2024-11-24 17:42:20
Kandivali West,38.51,47,3.18,16.25,2024-11-24 17:42:25
Parel,36.21,82,76.46,9.81,2024-11-24 17:42:30
Matunga,21.48,46,28.72,10.28,2024-11-24 17:42:35
Santacruz,11.46,49,175.13,9.04,2024-11-24 17:42:40
Bhayandar,13.46,71,185.17,1.5,2024-11-24 17:42:45
Thane,-7.87,97,35.89,9.71,2024-11-24 17:42:50
Sion,36.66,81,19.57,12.97,2024-11-24 17:42:55
Kurla,12.48,59,199.14,11.31,2024-11-24 17:43:00
Andheri,38.46,83,3.03,3.85,2024-11-24 17:43:05
Jogeshwari,-0.56,90,195.58,5.37,2024-11-24 17:43:10
Versova,2.31,47,148.22,2.74,2024-11-24 17:43:15
Vile Parle,3.57,23,96.71,17.51,2024-11-24 17:43:21
Bhayandar,20.88,58,49.08,9.04,2024-11-24 17:43:26
Chembur,-1.44,35,22.52,1.79,2024-11-24 17:43:31
Dahisar,3.6,79,30.1,14.15,2024-11-24 17:43:36
Ghatkopar,31.05,81,177.8,8.14,2024-11-24 17:43:41
Jogeshwari,0.67,80,159.61,2.87,2024-11-24 17:43:46
Prabhadevi,22.28,97,70.93,9.02,2024-11-24 17:43:51
Santacruz,33.72,76,194.67,9.07,2024-11-24 17:43:56
Worli,1.89,40,151.8,3.0,2024-11-24 17:44:01
Jogeshwari,32.21,28,31.23,15.79,2024-11-24 17:44:06
Nariman Point,18.0,28,195.26,6.44,2024-11-24 17:44:11
Saki Naka,2.66,24,173.45,14.61,2024-11-24 17:44:16
Colaba,22.96,27,32.35,19.56,2024-11-24 17:44:21
Mahalaxmi,7.93,82,69.07,18.13,2024-11-24 17:44:26
Dadar,2.56,94,140.96,17.45,2024-11-24 17:44:31
Andheri,23.79,30,56.75,16.39,2024-11-24 17:44:36
Kurla,23.6,36,42.59,2.3,2024-11-24 17:44:41
Santacruz,39.69,47,59.52,7.52,2024-11-24 17:44:46
Mulund,15.73,72,58.99,9.37,2024-11-24 17:44:51
Colaba,0.7,67,58.17,5.3,2024-11-24 17:44:56
Mulund,31.76,95,185.58,6.56,2024-11-24 17:45:01
Colaba,2.83,73,105.57,17.73,2024-11-24 17:45:06
Vashi,16.63,26,77.15,18.53,2024-11-24 17:45:11
Prabhadevi,24.89,54,165.87,5.64,2024-11-24 17:45:16
Prabhadevi,1.92,56,44.11,14.12,2024-11-24 17:45:21
Thane,-7.39,57,57.37,7.84,2024-11-24 17:45:26
Ghatkopar,5.17,51,20.9,16.16,2024-11-24 17:45:31
Andheri,-0.0,96,88.31,12.68,2024-11-24 17:45:36
Bhayandar,7.57,32,4.26,5.48,2024-11-24 17:45:41
Prabhadevi,29.14,100,58.84,9.13,2024-11-24 17:45:46
Colaba,-1.13,57,57.41,15.43,2024-11-24 17:45:51
Vashi,21.5,57,130.92,18.7,2024-11-24 17:45:56
Worli,32.08,76,162.11,7.38,2024-11-24 17:46:01
Borivali,36.4,60,88.13,6.04,2024-11-24 17:46:06
Versova,-5.15,72,48.42,12.33,2024-11-24 17:46:11
Borivali,20.14,31,198.54,4.79,2024-11-24 17:46:16
Saki Naka,35.96,94,31.5,13.7,2024-11-24 17:46:21
Worli,6.73,41,169.16,1.21,2024-11-24 17:46:26
Mahalaxmi,15.29,78,192.05,17.86,2024-11-24 17:46:31
Malad,29.38,29,94.75,16.21,2024-11-24 17:46:36
Kandivali West,10.56,93,68.94,12.8,2024-11-24 17:46:41
Dadar,5.14,66,127.05,15.45,2024-11-24 17:46:46
Andheri,21.95,68,39.36,2.2,2024-11-24 17:46:51
Jogeshwari,35.16,65,141.24,15.95,2024-11-24 17:46:56
Jogeshwari,39.04,73,103.63,2.77,2024-11-24 17:47:01
Lower Parel,37.81,45,13.33,5.78,2024-11-24 17:47:06
Thane,33.1,22,9.69,14.76,2024-11-24 17:47:11
Ghatkopar,-5.94,90,21.46,9.0,2024-11-24 17:47:16
Bhayandar,18.19,61,49.96,12.69,2024-11-24 17:47:21
Thane,39.15,87,56.26,10.53,2024-11-24 17:47:26
Khar,10.9,69,29.6,7.14,2024-11-24 17:47:31
Borivali,1.01,40,153.43,18.49,2024-11-24 17:47:36
Kandivali East,27.69,90,181.66,16.82,2024-11-24 17:47:41
Khar,11.47,63,176.7,10.24,2024-11-24 17:47:46
Kurla,-9.67,71,186.27,18.92,2024-11-24 17:47:51
Dadar,-4.53,73,126.71,10.89,2024-11-24 17:47:56
Kandivali,9.86,74,45.59,9.93,2024-11-24 17:48:01
Bhayandar,27.03,46,142.96,1.1,2024-11-24 17:48:06
Chembur,-1.47,31,154.7,18.48,2024-11-24 17:48:11
Saki Naka,38.54,52,44.0,18.75,2024-11-24 17:48:16
Nariman Point,3.85,80,12.4,8.38,2024-11-24 17:48:21
Borivali,10.64,86,166.53,9.88,2024-11-24 17:48:26
Kandivali East,2.91,100,96.23,6.26,2024-11-24 17:48:31
Kandivali West,11.69,99,75.18,14.5,2024-11-24 17:48:36
Lower Parel,-2.87,91,26.64,11.86,2024-11-24 17:48:41
Kandivali,-3.18,38,73.25,4.18,2024-11-24 17:48:46
Sion,-0.89,75,148.17,5.88,2024-11-24 17:48:51
Ghatkopar,11.25,52,129.61,13.72,2024-11-24 17:48:56
Chembur,-7.03,78,176.67,0.67,2024-11-24 17:49:01
Sion,32.46,91,4.31,0.39,2024-11-24 17:49:06
Dadar,24.92,53,94.99,4.14,2024-11-24 17:49:11
Chembur,20.23,63,26.73,2.86,2024-11-24 17:49:16
Vile Parle,36.83,61,109.76,19.13,2024-11-24 17:49:21
Vile Parle,28.16,66,65.88,17.98,2024-11-24 17:49:26
Kurla,28.88,95,178.4,0.62,2024-11-24 17:49:31
Dadar,10.69,76,168.03,11.02,2024-11-24 17:49:36
Ghatkopar,-4.04,51,13.82,16.61,2024-11-24 17:49:41
