location,vehicle_count,average_speed,congestion_level,timestamp
Prabhadevi,116,46.4,High,2024-11-24 17:20:13
Dadar,904,58.14,Low,2024-11-24 17:20:18
Nariman Point,442,94.75,Moderate,2024-11-24 17:20:23
Lower Parel,480,90.92,Low,2024-11-24 17:20:28
Kandivali,551,47.81,Moderate,2024-11-24 17:20:33
Matunga,946,92.46,Moderate,2024-11-24 17:20:38
Malad,636,86.29,High,2024-11-24 17:20:43
Dadar,957,54.4,Moderate,2024-11-24 17:20:48
Kandivali East,846,77.64,Moderate,2024-11-24 17:20:53
Prabhadevi,980,54.59,High,2024-11-24 17:20:58
Bhayandar,93,46.88,High,2024-11-24 17:21:03
Dadar,954,26.04,Low,2024-11-24 17:21:08
Lower Parel,180,25.92,Low,2024-11-24 17:21:13
Vile Parle,937,63.71,Low,2024-11-24 17:21:18
Kandivali East,53,42.85,Moderate,2024-11-24 17:21:23
Lower Parel,874,48.96,Low,2024-11-24 17:21:28
Bhayandar,489,43.03,Low,2024-11-24 17:21:33
Ghatkopar,154,71.42,Moderate,2024-11-24 17:21:38
Mulund,183,20.55,Moderate,2024-11-24 17:21:43
Thane,555,38.95,Moderate,2024-11-24 17:21:48
Mulund,488,27.84,Moderate,2024-11-24 17:21:53
Colaba,410,69.2,High,2024-11-24 17:21:58
Chembur,326,44.42,Moderate,2024-11-24 17:22:03
Kurla,100,29.73,Moderate,2024-11-24 17:22:08
Nariman Point,495,85.27,Low,2024-11-24 17:22:13
Prabhadevi,339,54.52,Low,2024-11-24 17:22:18
Vile Parle,445,84.01,Moderate,2024-11-24 17:22:23
Bandra,578,49.93,Moderate,2024-11-24 17:22:28
Jogeshwari,345,73.51,Moderate,2024-11-24 17:22:33
Lower Parel,629,20.09,High,2024-11-24 17:22:38
Mahalaxmi,889,88.03,Moderate,2024-11-24 17:22:43
Prabhadevi,688,79.26,Low,2024-11-24 17:22:48
Santacruz,854,38.01,Moderate,2024-11-24 17:22:53
Dahisar,397,42.53,Low,2024-11-24 17:22:58
Chembur,623,22.31,Low,2024-11-24 17:23:03
Nariman Point,744,75.04,High,2024-11-24 17:23:08
Chembur,980,30.95,Low,2024-11-24 17:23:13
Borivali,152,68.85,Low,2024-11-24 17:23:18
Prabhadevi,866,59.97,High,2024-11-24 17:23:23
Thane,233,51.39,Moderate,2024-11-24 17:23:28
Marine Drive,468,96.45,Low,2024-11-24 17:23:33
Bandra,782,89.45,Low,2024-11-24 17:23:38
Worli,351,45.46,High,2024-11-24 17:23:43
Prabhadevi,480,54.22,High,2024-11-24 17:23:48
Dahisar,440,40.52,Low,2024-11-24 17:23:53
Bandra,977,64.68,High,2024-11-24 17:23:58
Khar,902,89.75,High,2024-11-24 17:24:03
Mulund,209,54.65,High,2024-11-24 17:24:08
Worli,602,50.21,High,2024-11-24 17:24:13
Colaba,170,46.08,Low,2024-11-24 17:24:18
Borivali,398,33.4,Moderate,2024-11-24 17:24:23
Bhayandar,522,50.03,Moderate,2024-11-24 17:24:28
Dadar,357,65.45,Low,2024-11-24 17:24:33
Andheri,576,84.32,High,2024-11-24 17:24:38
Versova,282,65.44,High,2024-11-24 17:24:43
Sion,582,98.58,Moderate,2024-11-24 17:24:48
Santacruz,541,68.93,High,2024-11-24 17:24:53
Matunga,179,60.85,High,2024-11-24 17:24:58
Marine Drive,337,41.38,High,2024-11-24 17:25:03
Kandivali,596,41.47,High,2024-11-24 17:25:08
Malad,938,89.04,High,2024-11-24 17:25:13
Kandivali West,673,38.62,High,2024-11-24 17:25:18
Saki Naka,566,93.11,Low,2024-11-24 17:25:23
Thane,243,99.36,Low,2024-11-24 17:25:28
Saki Naka,662,57.26,Low,2024-11-24 17:25:33
Mahalaxmi,318,47.85,Low,2024-11-24 17:25:38
Bandra,538,33.42,Moderate,2024-11-24 17:25:43
Colaba,57,23.01,Low,2024-11-24 17:25:48
Santacruz,172,57.14,Low,2024-11-24 17:25:53
Nariman Point,614,69.93,Low,2024-11-24 17:25:58
Saki Naka,569,63.28,Low,2024-11-24 17:26:03
Lower Parel,228,23.65,Moderate,2024-11-24 17:26:09
Saki Naka,749,24.79,Low,2024-11-24 17:26:14
Andheri,305,80.46,Moderate,2024-11-24 17:26:19
Andheri,501,72.15,Moderate,2024-11-24 17:26:24
Kandivali East,885,80.47,Moderate,2024-11-24 17:26:29
Mulund,243,86.39,Moderate,2024-11-24 17:26:34
Dadar,201,40.7,Moderate,2024-11-24 17:26:39
Marine Drive,887,88.22,Moderate,2024-11-24 17:26:44
Dahisar,930,60.31,Moderate,2024-11-24 17:26:49
Nariman Point,524,63.04,Moderate,2024-11-24 17:26:54
Lower Parel,484,28.6,High,2024-11-24 17:26:59
Santacruz,732,61.23,Moderate,2024-11-24 17:27:04
Kandivali,748,80.89,High,2024-11-24 17:27:09
Bandra,149,36.02,High,2024-11-24 17:27:14
Ghatkopar,371,88.37,Moderate,2024-11-24 17:27:19
Mulund,500,72.93,Moderate,2024-11-24 17:27:24
Khar,774,58.98,High,2024-11-24 17:27:29
Lower Parel,846,21.37,Moderate,2024-11-24 17:27:34
Kandivali,122,88.47,Moderate,2024-11-24 17:27:39
Kandivali,218,36.03,High,2024-11-24 17:27:44
Andheri,156,70.21,Low,2024-11-24 17:27:49
Ghatkopar,485,79.76,Moderate,2024-11-24 17:27:54
Versova,866,67.63,Low,2024-11-24 17:27:59
Marine Drive,257,63.63,High,2024-11-24 17:28:04
Kandivali,329,84.0,Moderate,2024-11-24 17:28:09
Kurla,442,35.21,Low,2024-11-24 17:28:14
Thane,334,38.02,High,2024-11-24 17:28:19
Kurla,972,90.3,Moderate,2024-11-24 17:28:24
Andheri,291,66.34,Moderate,2024-11-24 17:28:29
Jogeshwari,868,85.52,Moderate,2024-11-24 17:28:34
Marine Drive,527,57.56,High,2024-11-24 17:28:39
Vashi,289,75.57,Low,2024-11-24 17:28:44
Kandivali,210,82.41,High,2024-11-24 17:28:49
Prabhadevi,937,80.67,Moderate,2024-11-24 17:28:54
Matunga,906,80.6,High,2024-11-24 17:28:59
Worli,124,48.59,High,2024-11-24 17:29:04
Nariman Point,420,22.06,Low,2024-11-24 17:29:09
Mulund,333,87.59,High,2024-11-24 17:29:14
Thane,140,85.94,High,2024-11-24 17:29:19
Dahisar,652,98.58,Moderate,2024-11-24 17:29:24
Worli,246,55.6,Moderate,2024-11-24 17:29:29
Kandivali,848,37.43,Low,2024-11-24 17:29:34
Santacruz,665,31.57,High,2024-11-24 17:29:39
Worli,329,65.96,Moderate,2024-11-24 17:29:44
Prabhadevi,704,31.23,Low,2024-11-24 17:29:49
Bhayandar,642,86.33,Moderate,2024-11-24 17:29:54
Khar,649,79.3,Low,2024-11-24 17:29:59
Nariman Point,701,45.39,High,2024-11-24 17:30:04
Borivali,366,98.71,Moderate,2024-11-24 17:30:09
Prabhadevi,116,97.46,High,2024-11-24 17:30:14
Kandivali West,298,64.98,High,2024-11-24 17:30:19
Mulund,251,41.07,Low,2024-11-24 17:30:24
Jogeshwari,786,41.04,Low,2024-11-24 17:30:29
Malad,490,31.77,High,2024-11-24 17:30:34
Dadar,706,71.62,Low,2024-11-24 17:30:39
Colaba,95,90.41,High,2024-11-24 17:30:44
Malad,763,56.5,High,2024-11-24 17:30:49
Versova,973,43.22,Moderate,2024-11-24 17:30:54
Vile Parle,193,65.57,Moderate,2024-11-24 17:30:59
Sion,739,61.87,High,2024-11-24 17:31:04
Mulund,448,56.31,Moderate,2024-11-24 17:31:09
Marine Drive,324,52.13,Low,2024-11-24 17:31:14
Kandivali,497,21.93,Low,2024-11-24 17:31:19
Lower Parel,364,23.41,Moderate,2024-11-24 17:31:24
Parel,726,98.75,Moderate,2024-11-24 17:31:29
Dadar,776,67.73,Moderate,2024-11-24 17:31:34
Worli,223,68.97,High,2024-11-24 17:31:39
Santacruz,420,43.39,High,2024-11-24 17:31:44
Kandivali West,159,76.26,Moderate,2024-11-24 17:31:49
Borivali,496,20.21,Moderate,2024-11-24 17:31:54
Parel,187,77.68,Low,2024-11-24 17:31:59
Nariman Point,559,76.99,Moderate,2024-11-24 17:32:05
Parel,222,27.04,Moderate,2024-11-24 17:32:10
Dadar,358,75.31,High,2024-11-24 17:32:15
Malad,181,32.41,Low,2024-11-24 17:32:20
Khar,832,36.27,High,2024-11-24 17:32:25
Versova,242,25.4,Moderate,2024-11-24 17:32:30
Vile Parle,131,70.7,High,2024-11-24 17:32:35
Parel,886,97.07,High,2024-11-24 17:32:40
Santacruz,556,31.79,High,2024-11-24 17:32:45
Worli,200,95.62,High,2024-11-24 17:32:50
Colaba,778,88.34,Moderate,2024-11-24 17:32:55
Kandivali,391,27.52,Low,2024-11-24 17:33:00
Sion,394,83.03,Moderate,2024-11-24 17:33:05
Saki Naka,725,68.74,Moderate,2024-11-24 17:33:10
Lower Parel,621,89.16,High,2024-11-24 17:33:15
Versova,80,87.11,High,2024-11-24 17:33:20
Jogeshwari,179,72.22,Moderate,2024-11-24 17:33:25
Prabhadevi,857,78.51,High,2024-11-24 17:33:30
Kandivali West,152,78.66,Low,2024-11-24 17:33:35
Kandivali East,414,75.12,Low,2024-11-24 17:33:40
Marine Drive,568,39.47,Low,2024-11-24 17:33:45
Prabhadevi,690,97.73,Low,2024-11-24 17:33:50
Saki Naka,589,67.19,Low,2024-11-24 17:33:55
Dahisar,673,98.75,High,2024-11-24 17:34:00
Borivali,203,47.1,Moderate,2024-11-24 17:34:05
Kurla,736,58.25,High,2024-11-24 17:34:10
Sion,314,73.88,High,2024-11-24 17:34:15
Marine Drive,673,36.24,Moderate,2024-11-24 17:34:20
Dadar,693,82.76,Low,2024-11-24 17:34:25
Khar,332,82.67,Low,2024-11-24 17:34:30
Matunga,518,87.92,Low,2024-11-24 17:34:35
Sion,299,69.94,Moderate,2024-11-24 17:34:40
Malad,422,35.81,Low,2024-11-24 17:34:45
Thane,745,22.77,High,2024-11-24 17:34:50
Worli,742,67.65,Moderate,2024-11-24 17:34:55
Dadar,809,46.75,High,2024-11-24 17:35:00
Thane,906,52.28,Low,2024-11-24 17:35:05
Versova,793,74.29,Low,2024-11-24 17:35:10
Parel,551,95.53,High,2024-11-24 17:35:15
Vashi,939,75.0,Low,2024-11-24 17:35:20
Prabhadevi,582,42.42,High,2024-11-24 17:35:25
Chembur,624,89.2,High,2024-11-24 17:35:30
Santacruz,215,24.94,Moderate,2024-11-24 17:35:35
Santacruz,642,91.65,Moderate,2024-11-24 17:35:40
Marine Drive,219,37.78,Moderate,2024-11-24 17:35:45
Bandra,590,31.36,High,2024-11-24 17:35:50
Kandivali West,228,50.96,High,2024-11-24 17:35:55
Mahalaxmi,394,61.75,High,2024-11-24 17:36:00
Saki Naka,854,93.15,Low,2024-11-24 17:36:05
Nariman Point,458,72.86,High,2024-11-24 17:36:10
Chembur,567,81.0,High,2024-11-24 17:36:15
Worli,444,63.67,Moderate,2024-11-24 17:36:20
Prabhadevi,869,34.5,High,2024-11-24 17:36:25
Kandivali West,418,51.44,Moderate,2024-11-24 17:36:30
Bandra,174,20.0,High,2024-11-24 17:36:35
Versova,582,79.55,Low,2024-11-24 17:36:40
Mahalaxmi,603,89.11,Low,2024-11-24 17:36:45
Marine Drive,906,94.91,Low,2024-11-24 17:36:50
Prabhadevi,324,98.1,High,2024-11-24 17:36:55
Marine Drive,431,70.54,Moderate,2024-11-24 17:37:00
Matunga,466,70.33,High,2024-11-24 17:37:05
Ghatkopar,928,28.59,Low,2024-11-24 17:37:10
Vashi,900,20.31,Moderate,2024-11-24 17:37:15
Lower Parel,160,48.17,High,2024-11-24 17:37:20
Parel,804,97.77,High,2024-11-24 17:37:25
Santacruz,394,78.87,Low,2024-11-24 17:37:30
Prabhadevi,396,24.42,High,2024-11-24 17:37:35
Worli,188,60.38,Moderate,2024-11-24 17:37:40
Vashi,474,83.8,High,2024-11-24 17:37:45
Kandivali East,274,81.65,Low,2024-11-24 17:37:50
Borivali,596,59.15,Low,2024-11-24 17:37:55
Kurla,140,48.21,High,2024-11-24 17:38:00
Colaba,567,27.38,High,2024-11-24 17:38:05
Kandivali East,179,25.99,High,2024-11-24 17:38:10
Mulund,661,36.1,Low,2024-11-24 17:38:15
Khar,607,84.23,Low,2024-11-24 17:38:20
Prabhadevi,152,21.59,High,2024-11-24 17:38:25
Jogeshwari,349,57.06,High,2024-11-24 17:38:30
Chembur,889,63.81,Moderate,2024-11-24 17:38:35
Colaba,81,33.15,Low,2024-11-24 17:38:40
Bhayandar,370,33.98,Low,2024-11-24 17:38:45
Worli,811,20.27,Low,2024-11-24 17:38:50
Marine Drive,148,24.17,Moderate,2024-11-24 17:38:55
Saki Naka,428,76.78,High,2024-11-24 17:39:00
Kandivali West,596,93.47,Low,2024-11-24 17:39:05
Worli,738,28.96,Low,2024-11-24 17:39:10
Andheri,514,39.54,Low,2024-11-24 17:39:15
Prabhadevi,788,56.55,Moderate,2024-11-24 17:39:20
Andheri,790,92.62,Moderate,2024-11-24 17:39:25
Mulund,973,49.63,Low,2024-11-24 17:39:30
Kurla,262,32.6,Low,2024-11-24 17:39:35
Bandra,360,94.22,Moderate,2024-11-24 17:39:40
Santacruz,242,20.03,High,2024-11-24 17:39:45
Worli,667,90.58,Moderate,2024-11-24 17:39:50
Kandivali,831,47.47,Low,2024-11-24 17:39:55
Thane,433,61.19,High,2024-11-24 17:40:00
Marine Drive,630,94.7,Moderate,2024-11-24 17:40:05
Malad,897,55.7,Moderate,2024-11-24 17:40:10
Lower Parel,439,68.46,Low,2024-11-24 17:40:15
Versova,585,90.32,Low,2024-11-24 17:40:20
Borivali,262,33.1,High,2024-11-24 17:40:25
Borivali,440,48.76,Moderate,2024-11-24 17:40:30
Colaba,177,97.9,High,2024-11-24 17:40:35
Borivali,52,52.03,Moderate,2024-11-24 17:40:40
Mahalaxmi,795,43.49,High,2024-11-24 17:40:45
Lower Parel,240,69.61,Moderate,2024-11-24 17:40:50
Worli,607,64.52,Low,2024-11-24 17:40:55
Colaba,582,70.62,High,2024-11-24 17:41:00
Kurla,140,85.26,Low,2024-11-24 17:41:05
Kandivali West,71,54.0,High,2024-11-24 17:41:10
Chembur,800,33.24,Moderate,2024-11-24 17:41:15
Prabhadevi,597,88.51,Moderate,2024-11-24 17:41:20
Saki Naka,407,58.74,Low,2024-11-24 17:41:25
Khar,565,89.33,Low,2024-11-24 17:41:30
Kandivali,928,51.32,High,2024-11-24 17:41:35
Santacruz,275,36.36,Moderate,2024-11-24 17:41:40
Khar,125,47.65,Low,2024-11-24 17:41:45
Versova,403,89.16,Moderate,2024-11-24 17:41:50
Andheri,680,63.95,Low,2024-11-24 17:41:55
Malad,899,32.76,Moderate,2024-11-24 17:42:00
Saki Naka,521,22.62,Low,2024-11-24 17:42:05
Worli,275,75.3,High,2024-11-24 17:42:10
Thane,516,62.87,Moderate,2024-11-24 17:42:15
Mulund,556,69.81,Moderate,2024-11-24 17:42:20
Saki Naka,768,62.91,High,2024-11-24 17:42:25
Worli,789,86.2,Low,2024-11-24 17:42:30
Versova,503,50.92,Low,2024-11-24 17:42:35
Santacruz,779,99.87,High,2024-11-24 17:42:40
Kandivali West,800,21.0,Moderate,2024-11-24 17:42:45
Khar,764,26.7,Low,2024-11-24 17:42:50
Versova,392,25.19,High,2024-11-24 17:42:55
Versova,384,72.53,Moderate,2024-11-24 17:43:00
Colaba,985,35.56,Moderate,2024-11-24 17:43:05
Marine Drive,236,71.41,High,2024-11-24 17:43:10
Vile Parle,670,72.26,High,2024-11-24 17:43:15
Santacruz,812,57.76,Moderate,2024-11-24 17:43:21
Bandra,735,58.35,Moderate,2024-11-24 17:43:26
Borivali,546,40.47,Moderate,2024-11-24 17:43:31
Kandivali West,877,44.96,Moderate,2024-11-24 17:43:36
Malad,772,34.41,Moderate,2024-11-24 17:43:41
Jogeshwari,261,25.65,Low,2024-11-24 17:43:46
Dadar,642,94.1,High,2024-11-24 17:43:51
Vile Parle,128,84.15,Low,2024-11-24 17:43:56
Khar,556,70.18,Low,2024-11-24 17:44:01
Matunga,275,92.92,Low,2024-11-24 17:44:06
Andheri,240,38.45,High,2024-11-24 17:44:11
Vile Parle,102,39.38,Low,2024-11-24 17:44:16
Bandra,387,99.43,Low,2024-11-24 17:44:21
Kandivali East,229,70.06,Moderate,2024-11-24 17:44:26
Mahalaxmi,613,97.18,Low,2024-11-24 17:44:31
Lower Parel,137,85.1,Moderate,2024-11-24 17:44:36
Marine Drive,154,36.32,Moderate,2024-11-24 17:44:41
Sion,203,59.6,High,2024-11-24 17:44:46
Prabhadevi,722,98.38,High,2024-11-24 17:44:51
Nariman Point,658,67.66,Low,2024-11-24 17:44:56
Kandivali West,309,76.36,High,2024-11-24 17:45:01
Andheri,245,32.39,Low,2024-11-24 17:45:06
Jogeshwari,801,35.02,Moderate,2024-11-24 17:45:11
Chembur,122,51.31,Low,2024-11-24 17:45:16
Kandivali,374,98.14,High,2024-11-24 17:45:21
Marine Drive,749,35.33,Low,2024-11-24 17:45:26
Thane,265,58.27,Moderate,2024-11-24 17:45:31
Jogeshwari,371,44.58,Low,2024-11-24 17:45:36
Kurla,160,46.46,Moderate,2024-11-24 17:45:41
Borivali,815,25.86,Low,2024-11-24 17:45:46
Nariman Point,763,61.12,High,2024-11-24 17:45:51
Sion,451,99.16,Moderate,2024-11-24 17:45:56
Nariman Point,747,41.83,High,2024-11-24 17:46:01
Bhayandar,442,49.19,Moderate,2024-11-24 17:46:06
Parel,510,90.2,High,2024-11-24 17:46:11
Matunga,151,44.85,Moderate,2024-11-24 17:46:16
Chembur,404,69.99,Low,2024-11-24 17:46:21
Sion,169,53.63,High,2024-11-24 17:46:26
Vashi,536,86.96,Moderate,2024-11-24 17:46:31
Nariman Point,786,63.53,High,2024-11-24 17:46:36
Bhayandar,380,84.3,High,2024-11-24 17:46:41
Versova,988,44.34,Moderate,2024-11-24 17:46:46
Chembur,192,61.61,Moderate,2024-11-24 17:46:51
Prabhadevi,571,54.97,Moderate,2024-11-24 17:46:56
Malad,932,31.49,Low,2024-11-24 17:47:01
Kandivali,120,66.34,Low,2024-11-24 17:47:06
Vile Parle,60,61.37,Low,2024-11-24 17:47:11
Versova,268,22.23,High,2024-11-24 17:47:16
Ghatkopar,957,90.8,High,2024-11-24 17:47:21
Nariman Point,370,33.33,Low,2024-11-24 17:47:26
Malad,419,83.5,High,2024-11-24 17:47:31
Andheri,539,39.61,Moderate,2024-11-24 17:47:36
Kandivali West,732,61.16,High,2024-11-24 17:47:41
Prabhadevi,619,48.87,Moderate,2024-11-24 17:47:46
Bhayandar,310,84.54,High,2024-11-24 17:47:51
Saki Naka,322,55.72,Low,2024-11-24 17:47:56
Bandra,145,76.91,Moderate,2024-11-24 17:48:01
Kandivali West,961,44.58,Low,2024-11-24 17:48:06
Santacruz,137,90.37,High,2024-11-24 17:48:11
Thane,657,84.4,High,2024-11-24 17:48:16
Kandivali East,647,64.68,Low,2024-11-24 17:48:21
Dadar,522,83.07,High,2024-11-24 17:48:26
Worli,937,36.59,Low,2024-11-24 17:48:31
Saki Naka,481,88.31,Low,2024-11-24 17:48:36
Marine Drive,297,74.09,High,2024-11-24 17:48:41
Colaba,943,45.18,Low,2024-11-24 17:48:46
Matunga,692,62.39,Moderate,2024-11-24 17:48:51
Saki Naka,408,93.29,Moderate,2024-11-24 17:48:56
Khar,234,97.45,High,2024-11-24 17:49:01
Malad,124,79.43,High,2024-11-24 17:49:06
Mahalaxmi,807,22.34,Moderate,2024-11-24 17:49:11
Vashi,439,85.02,High,2024-11-24 17:49:16
Andheri,454,55.47,Low,2024-11-24 17:49:21
Matunga,107,56.48,Low,2024-11-24 17:49:26
Parel,518,45.62,Low,2024-11-24 17:49:31
Vashi,139,91.33,Low,2024-11-24 17:49:36
Sion,526,95.42,Low,2024-11-24 17:49:41
Sion,495,27.8,Low,2024-11-24 17:49:46
Mahalaxmi,173,67.21,High,2024-11-24 17:49:51
Colaba,291,98.32,Moderate,2024-11-24 17:49:56
Chembur,568,97.01,Low,2024-11-24 17:50:01
Lower Parel,503,94.71,Moderate,2024-11-24 17:50:06
Nariman Point,829,95.86,High,2024-11-24 17:50:11
Kandivali East,546,62.25,Moderate,2024-11-24 17:50:16
Ghatkopar,491,90.53,Moderate,2024-11-24 17:50:21
Malad,550,61.23,Low,2024-11-24 17:50:26
Thane,734,26.94,Moderate,2024-11-24 17:50:31
Prabhadevi,300,75.84,High,2024-11-24 17:50:36
Malad,723,21.34,High,2024-11-24 17:50:41
Mahalaxmi,487,55.41,Low,2024-11-24 17:50:46
Bandra,969,27.41,Low,2024-11-24 17:50:51
Mahalaxmi,732,41.0,High,2024-11-24 17:50:56
Versova,728,99.66,High,2024-11-24 17:51:01
Vile Parle,444,38.64,Moderate,2024-11-24 17:51:06
Dadar,567,67.72,Low,2024-11-24 17:51:11
Mulund,175,31.13,Moderate,2024-11-24 17:51:16
Matunga,589,29.36,Moderate,2024-11-24 17:51:21
Matunga,117,55.31,High,2024-11-24 17:51:26
Borivali,503,49.12,High,2024-11-24 17:51:31
Kandivali West,916,87.91,High,2024-11-24 17:51:36
Santacruz,976,47.23,High,2024-11-24 17:51:41
Bhayandar,905,68.85,Low,2024-11-24 17:51:46
Prabhadevi,507,62.88,Low,2024-11-24 17:51:51
Borivali,277,62.01,High,2024-11-24 17:51:56
Nariman Point,979,32.19,High,2024-11-24 17:52:01
Mahalaxmi,688,85.61,Moderate,2024-11-24 17:52:06
Colaba,170,41.48,Moderate,2024-11-24 17:52:11
Dahisar,592,59.13,Low,2024-11-24 17:52:16
Khar,772,78.17,Moderate,2024-11-24 17:52:21
Dahisar,957,45.68,High,2024-11-24 17:52:26
Kandivali East,576,70.08,Low,2024-11-24 17:52:31
Colaba,700,24.59,Low,2024-11-24 17:52:36
Thane,711,53.13,Moderate,2024-11-24 17:52:41
Saki Naka,242,58.08,High,2024-11-24 17:52:46
Borivali,674,36.77,Moderate,2024-11-24 17:52:51
Kandivali West,285,38.36,High,2024-11-24 17:52:56
Sion,738,65.51,High,2024-11-24 17:53:01
Bhayandar,987,31.09,Low,2024-11-24 17:53:06
Lower Parel,571,88.73,Low,2024-11-24 17:53:11
Dahisar,755,72.01,Moderate,2024-11-24 17:53:16
Kandivali,724,97.72,Low,2024-11-24 17:53:21
Parel,218,59.88,Low,2024-11-24 17:53:26
Malad,317,91.52,High,2024-11-24 17:53:31
Bhayandar,308,92.22,High,2024-11-24 17:53:36
Colaba,133,58.84,High,2024-11-24 17:53:42
Colaba,860,94.82,Low,2024-11-24 17:53:47
Kandivali West,741,31.37,Low,2024-11-24 17:53:52
Kandivali West,990,66.15,High,2024-11-24 17:53:57
Matunga,165,71.62,High,2024-11-24 17:54:02
Worli,984,95.71,Low,2024-11-24 17:54:07
Santacruz,736,65.27,Moderate,2024-11-24 17:54:12
Bhayandar,194,73.16,Low,2024-11-24 17:54:17
Dahisar,770,24.9,Low,2024-11-24 17:54:22
Santacruz,258,74.69,High,2024-11-24 17:54:27
Marine Drive,197,90.96,High,2024-11-24 17:54:32
Mahalaxmi,951,66.9,Low,2024-11-24 17:54:37
Saki Naka,775,66.83,High,2024-11-24 17:54:42
Bandra,300,25.74,Low,2024-11-24 17:54:47
Prabhadevi,286,93.05,Moderate,2024-11-24 17:54:52
Santacruz,429,87.39,High,2024-11-24 17:54:57
Vashi,196,27.46,Low,2024-11-24 17:55:02
Chembur,738,81.47,High,2024-11-24 17:55:07
Saki Naka,496,95.26,High,2024-11-24 17:55:12
Kurla,525,90.4,Moderate,2024-11-24 17:55:17
Mulund,111,84.99,High,2024-11-24 17:55:22
Vile Parle,130,45.5,Low,2024-11-24 17:55:27
Khar,571,20.14,Moderate,2024-11-24 17:55:32
Vashi,730,98.42,Low,2024-11-24 17:55:37
Nariman Point,241,58.62,Low,2024-11-24 17:55:42
Dadar,702,99.29,High,2024-11-24 17:55:47
Kandivali,469,39.68,Low,2024-11-24 17:55:52
Saki Naka,543,75.26,Low,2024-11-24 17:55:57
